v,vw,o,c,h,l,t,n
307005165.0,125.601,126.82,127.31,127.72,122.86,1621224000000,2165019
142363380.0,126.6453,127.82,127.1,128,125.21,1621569600000,969980
294317512.0,126.2425,127.82,124.61,128.32,124.55,1621915200000,1951664
65562118.0,124.5894,125.08,124.28,125.35,123.94,1622260800000,501106
209542775.0,124.6233,124.28,125.89,126.16,123.13,1622606400000,1491417
202156543.0,126.4746,126.17,127.13,128.46,124.8321,1622952000000,1418957
124708794.0,126.8169,127.02,127.35,128.19,125.94,1623297600000,852451
348146716.0,130.3027,127.82,131.79,132.55,127.07,1623643200000,2250878
188159525.0,131.0872,130.71,132.3,132.41,129.21,1623988800000,1063699
273422562.0,133.4515,132.13,133.11,134.64,131.62,1624334400000,1708018
126232984.0,135.385,133.41,136.33,136.49,133.35,1624680000000,896978
194596696.0,137.7444,136.17,139.96,140,135.76,1625025600000,1329421
212981565.0,142.863,140.07,144.57,144.89,140.07,1625371200000,1466452
204116257.0,143.6397,141.58,145.11,145.65,140.665,1625716800000,1408380
410649514.0,147.2944,146.21,148.48,150,143.63,1626062400000,2709755
214654497.0,144.7895,148.46,142.45,149.76,141.67,1626408000000,1552779
319090668.0,146.4198,143.46,148.56,148.7177,142.96,1626753600000,2025285
177237117.0,147.7666,148.27,146.77,149.83,145.55,1627099200000,1274735
246071292.0,145.245,144.81,145.86,146.97,142.54,1627444800000,1711911
181245850.0,146.5411,146.36,146.95,148.045,145.18,1627790400000,1323676
100070635.0,146.6284,146.98,146.14,147.84,145.63,1628136000000,730331
239410165.0,146.6843,146.2,148.89,149.05,145.3,1628481600000,1663860
162933791.0,149.2249,148.97,151.12,151.19,146.47,1628827200000,1112750
325490809.0,148.2661,150.23,148.19,151.68,144.5,1629172800000,2324781
108710938.0,149.6744,148.31,149.62,150.86,147.89,1629518400000,799002
162147380.0,148.2915,149.81,148.6,150.32,146.83,1629864000000,1248775
256926451.0,152.6099,149,152.51,154.98,148.61,1630209600000,1787686
129037383.0,153.7947,153.87,154.3,154.72,152.4,1630555200000,951660
215322874.0,155.4578,154.97,154.07,157.26,153.95,1630900800000,1695536
245075606.0,150.4456,155,149.55,155.48,148.7,1631246400000,1928469
394795072.0,147.8428,150.35,146.06,151.07,145.76,1631592000000,2660057
199296324.0,143.1283,143.8,143.43,144.84,141.27,1631937600000,1600182
194607080.0,146.1338,144.45,146.92,147.4701,143.7001,1632283200000,1420872
256698610.0,143.5839,145.47,142.83,145.96,141.69,1632628800000,1882438
185423089.0,141.7404,143.66,142.65,144.378,139.1101,1632974400000,1390952
323736843.0,140.8295,141.76,143.29,144.215,138.27,1633320000000,2452930
123844271.0,143.4292,144.03,142.81,144.81,141.81,1633665600000,822760
289332264.0,142.3403,143.23,144.84,144.895,139.2,1634011200000,2003825
161768068.0,146.7953,143.445,148.76,149.17,143.16,1634356800000,1077100
178619921.0,149.1379,148.7,148.69,150.18,147.87,1634702400000,1293815
167208877.0,149.1071,148.68,148.85,150.84,147.6211,1635048000000,1292305
225017556.0,149.7834,149.82,149.8,153.165,146.4128,1635393600000,1613391
198221775.0,149.9293,148.985,151.49,151.97,147.8,1635739200000,1446165
