Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
28/04/2014,65.0,65.0,65.0,65.0,"0,00K","0,00%",65.0,65.0,65.0,65.0
29/04/2014,65.0,65.0,65.0,65.0,"0,01K","0,00%",65.0,65.0,65.0,65.0
05/05/2014,65.0,65.0,65.0,65.0,"0,02K","0,00%",65.0,65.0,65.0,65.0
07/05/2014,65.0,65.0,65.0,65.0,"0,01K","0,00%",65.0,65.0,65.0,65.0
14/05/2014,65.0,65.0,65.0,65.0,"0,02K","0,00%",65.0,65.0,65.0,65.0
15/05/2014,65.0,65.0,65.0,65.0,"0,01K","0,00%",65.0,65.0,65.0,65.0
19/05/2014,62.0,62.0,62.0,62.0,"0,04K","-4,62%",62.0,62.0,62.0,62.0
20/05/2014,61.995,61.995,61.995,61.995,"0,00K","-0,01%",61.995,61.995,61.995,61.995
21/05/2014,58.5,58.5,58.5,58.5,"0,05K","-5,64%",58.5,58.5,58.5,58.5
22/05/2014,58.505,58.505,58.505,58.505,"0,07K","0,01%",58.505,58.505,58.505,58.505
26/05/2014,60.0,60.0,60.0,60.0,"0,04K","2,56%",60.0,60.0,60.0,60.0
27/05/2014,59.0,59.0,59.0,59.0,"0,15K","-1,67%",59.0,59.0,59.0,59.0
02/06/2014,59.0,59.0,59.0,59.0,"0,00K","0,00%",59.0,59.0,59.0,59.0
04/06/2014,59.0,59.0,59.0,59.0,"0,07K","0,00%",59.0,59.0,59.0,59.0
05/06/2014,59.0,59.0,59.0,59.0,"0,24K","0,00%",59.0,59.0,59.0,59.0
10/06/2014,59.0,59.0,59.0,59.0,"0,01K","0,00%",59.0,59.0,59.0,59.0
11/06/2014,59.0,59.0,59.0,59.0,"0,01K","0,00%",59.0,59.0,59.0,59.0
16/06/2014,59.0,59.0,59.0,59.0,"0,02K","0,00%",59.0,59.0,59.0,59.0
17/06/2014,59.0,59.0,59.0,59.0,"0,04K","0,00%",59.0,59.0,59.0,59.0
19/06/2014,59.0,59.0,59.0,59.0,"0,01K","0,00%",59.0,59.0,59.0,59.0
23/06/2014,59.0,59.0,59.0,59.0,"0,03K","0,00%",59.0,59.0,59.0,59.0
25/06/2014,59.5,59.5,59.5,59.5,"0,01K","0,85%",59.5,59.5,59.5,59.5
26/06/2014,59.5,59.5,59.5,59.5,"0,05K","0,00%",59.5,59.5,59.5,59.5
27/06/2014,59.51,59.51,59.51,59.51,"0,02K","0,02%",59.51,59.51,59.51,59.51
01/07/2014,59.5,59.5,59.5,59.5,"0,06K","-0,02%",59.5,59.5,59.5,59.5
02/07/2014,59.01,59.01,59.01,59.01,"0,01K","-0,82%",59.01,59.01,59.01,59.01
04/07/2014,59.0,59.0,59.0,59.0,"0,14K","-0,02%",59.0,59.0,59.0,59.0
09/07/2014,58.0,58.0,58.0,58.0,"0,02K","-1,69%",58.0,58.0,58.0,58.0
10/07/2014,58.0,58.0,58.0,58.0,"0,11K","0,00%",58.0,58.0,58.0,58.0
11/07/2014,57.0,57.0,57.0,57.0,"0,02K","-1,72%",57.0,57.0,57.0,57.0
15/07/2014,57.095,57.095,57.095,57.095,"0,06K","0,17%",57.095,57.095,57.095,57.095
21/07/2014,59.0,59.0,59.0,59.0,"0,02K","3,34%",59.0,59.0,59.0,59.0
23/07/2014,58.4,58.4,58.4,58.4,"0,80K","-1,02%",58.4,58.4,58.4,58.4
25/07/2014,57.1,57.1,57.1,57.1,"0,17K","-2,23%",57.1,57.1,57.1,57.1
29/07/2014,57.1,57.1,57.1,57.1,"0,06K","0,00%",57.1,57.1,57.1,57.1
30/07/2014,57.5,57.5,57.5,57.5,"0,21K","0,70%",57.5,57.5,57.5,57.5
06/08/2014,57.6,57.6,57.6,57.6,"0,09K","0,17%",57.6,57.6,57.6,57.6
08/08/2014,61.0,61.0,61.0,61.0,"0,13K","5,90%",61.0,61.0,61.0,61.0
11/08/2014,60.0,60.0,60.0,60.0,"0,00K","-1,64%",60.0,60.0,60.0,60.0
12/08/2014,60.0,60.0,60.0,60.0,"0,01K","0,00%",60.0,60.0,60.0,60.0
13/08/2014,60.0,60.0,60.0,60.0,"0,00K","0,00%",60.0,60.0,60.0,60.0
14/08/2014,62.0,62.0,62.0,62.0,"0,09K","3,33%",62.0,62.0,62.0,62.0
19/08/2014,62.0,62.0,62.0,62.0,"0,01K","0,00%",62.0,62.0,62.0,62.0
21/08/2014,64.0,64.0,64.0,64.0,"0,07K","3,23%",64.0,64.0,64.0,64.0
22/08/2014,66.3,66.3,66.3,66.3,"0,25K","3,59%",66.3,66.3,66.3,66.3
25/08/2014,67.0,67.0,67.0,67.0,"0,01K","1,06%",67.0,67.0,67.0,67.0
26/08/2014,68.0,68.0,68.0,68.0,"0,20K","1,49%",68.0,68.0,68.0,68.0
27/08/2014,68.005,68.005,68.005,68.005,"1,14K","0,01%",68.005,68.005,68.005,68.005
