Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
11/12/2014,34.665,34.665,34.665,34.665,"0,01K","15,59%",34.665,34.665,34.665,34.665
12/12/2014,37.26,37.26,37.26,37.26,"0,00K","7,49%",37.26,37.26,37.26,37.26
15/12/2014,40.05,40.05,40.05,40.05,"0,00K","7,49%",40.05,40.05,40.05,40.05
16/12/2014,43.05,43.05,43.05,43.05,"0,00K","7,49%",43.05,43.05,43.05,43.05
17/12/2014,46.275,46.275,46.275,46.275,"0,55K","7,49%",46.275,46.275,46.275,46.275
18/12/2014,49.74,49.74,49.74,49.74,"5,64K","7,49%",49.74,49.74,49.74,49.74
19/12/2014,53.47,53.47,53.47,53.47,"2,48K","7,50%",53.47,53.47,53.47,53.47
22/12/2014,57.48,57.48,57.48,57.48,"0,98K","7,50%",57.48,57.48,57.48,57.48
23/12/2014,60.995,60.995,60.995,60.995,"3,32K","6,12%",60.995,60.995,60.995,60.995
24/12/2014,60.5,60.5,60.5,60.5,"0,86K","-0,81%",60.5,60.5,60.5,60.5
26/12/2014,61.0,61.0,61.0,61.0,"1,71K","0,83%",61.0,61.0,61.0,61.0
29/12/2014,62.0,62.0,62.0,62.0,"0,59K","1,64%",62.0,62.0,62.0,62.0
30/12/2014,63.505,63.505,63.505,63.505,"0,08K","2,43%",63.505,63.505,63.505,63.505
31/12/2014,64.5,64.5,64.5,64.5,"1,51K","1,57%",64.5,64.5,64.5,64.5
02/01/2015,67.4,67.4,67.4,67.4,"0,06K","4,50%",67.4,67.4,67.4,67.4
05/01/2015,66.495,66.495,66.495,66.495,"0,15K","-1,34%",66.495,66.495,66.495,66.495
06/01/2015,65.0,65.0,65.0,65.0,"0,23K","-2,25%",65.0,65.0,65.0,65.0
07/01/2015,65.0,65.0,65.0,65.0,"1,27K","0,00%",65.0,65.0,65.0,65.0
08/01/2015,62.0,62.0,62.0,62.0,"2,76K","-4,62%",62.0,62.0,62.0,62.0
09/01/2015,65.0,65.0,65.0,65.0,"0,45K","4,84%",65.0,65.0,65.0,65.0
12/01/2015,62.1,62.1,62.1,62.1,"0,04K","-4,46%",62.1,62.1,62.1,62.1
13/01/2015,61.0,61.0,61.0,61.0,"0,20K","-1,77%",61.0,61.0,61.0,61.0
14/01/2015,63.0,63.0,63.0,63.0,"0,98K","3,28%",63.0,63.0,63.0,63.0
15/01/2015,60.0,60.0,60.0,60.0,"1,09K","-4,76%",60.0,60.0,60.0,60.0
16/01/2015,60.0,60.0,60.0,60.0,"0,48K","0,00%",60.0,60.0,60.0,60.0
19/01/2015,60.0,60.0,60.0,60.0,"0,17K","0,00%",60.0,60.0,60.0,60.0
20/01/2015,60.0,60.0,60.0,60.0,"0,04K","0,00%",60.0,60.0,60.0,60.0
21/01/2015,60.0,60.0,60.0,60.0,"0,48K","0,00%",60.0,60.0,60.0,60.0
22/01/2015,60.0,60.0,60.0,60.0,"0,16K","0,00%",60.0,60.0,60.0,60.0
23/01/2015,60.0,60.0,60.0,60.0,"0,23K","0,00%",60.0,60.0,60.0,60.0
26/01/2015,58.995,58.995,58.995,58.995,"0,28K","-1,68%",58.995,58.995,58.995,58.995
27/01/2015,58.0,58.0,58.0,58.0,"0,12K","-1,69%",58.0,58.0,58.0,58.0
28/01/2015,60.0,60.0,60.0,60.0,"0,47K","3,45%",60.0,60.0,60.0,60.0
29/01/2015,62.995,62.995,62.995,62.995,"5,15K","4,99%",62.995,62.995,62.995,62.995
30/01/2015,65.0,65.0,65.0,65.0,"0,39K","3,18%",65.0,65.0,65.0,65.0
02/02/2015,63.005,63.005,63.005,63.005,"0,12K","-3,07%",63.005,63.005,63.005,63.005
03/02/2015,65.005,65.005,65.005,65.005,"1,99K","3,17%",65.005,65.005,65.005,65.005
04/02/2015,66.99,66.99,66.99,66.99,"0,17K","3,05%",66.99,66.99,66.99,66.99
05/02/2015,65.01,65.01,65.01,65.01,"0,05K","-2,96%",65.01,65.01,65.01,65.01
