Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
20/01/2017,"251,92","251,92","251,92","251,92",,"0,38%",251.92,251.92,251.92,251.92
23/01/2017,"249,46","249,46","249,46","249,46",,"-0,98%",249.46,249.46,249.46,249.46
24/01/2017,"248,24","248,24","248,24","248,24",,"-0,49%",248.24,248.24,248.24,248.24
25/01/2017,"248,02","248,02","248,02","248,02",,"-0,09%",248.02,248.02,248.02,248.02
26/01/2017,"247,40","247,40","247,40","247,40",,"-0,25%",247.4,247.4,247.4,247.4
27/01/2017,"246,66","246,66","246,66","246,66",,"-0,30%",246.66,246.66,246.66,246.66
30/01/2017,"248,18","248,18","248,18","248,18",,"0,62%",248.18,248.18,248.18,248.18
31/01/2017,"247,00","247,00","247,00","247,00",,"-0,48%",247.0,247.0,247.0,247.0
01/02/2017,"246,69","246,69","246,69","246,69",,"-0,13%",246.69,246.69,246.69,246.69
02/02/2017,"248,03","248,03","248,03","248,03",,"0,54%",248.03,248.03,248.03,248.03
03/02/2017,"249,77","249,77","249,77","249,77",,"0,70%",249.77,249.77,249.77,249.77
06/02/2017,"249,16","249,16","249,16","249,16",,"-0,24%",249.16,249.16,249.16,249.16
07/02/2017,"250,30","250,30","250,30","250,30",,"0,46%",250.3,250.3,250.3,250.3
08/02/2017,"249,27","249,27","249,27","249,27",,"-0,41%",249.27,249.27,249.27,249.27
09/02/2017,"248,72","248,72","248,72","248,72",,"-0,22%",248.72,248.72,248.72,248.72
10/02/2017,"252,21","252,21","252,21","252,21",,"1,40%",252.21,252.21,252.21,252.21
13/02/2017,"251,46","251,46","251,46","251,46",,"-0,30%",251.46,251.46,251.46,251.46
14/02/2017,"251,60","251,60","251,60","251,60",,"0,06%",251.6,251.6,251.6,251.6
15/02/2017,"251,93","251,93","251,93","251,93",,"0,13%",251.93,251.93,251.93,251.93
16/02/2017,"251,77","251,77","251,77","251,77",,"-0,06%",251.77,251.77,251.77,251.77
17/02/2017,"251,31","251,31","251,31","251,31",,"-0,18%",251.31,251.31,251.31,251.31
18/02/2017,"251,31","251,31","251,31","251,31",,"0,00%",251.31,251.31,251.31,251.31
20/02/2017,"253,45","253,45","253,45","253,45",,"0,85%",253.45,253.45,253.45,253.45
