Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
19/01/2017,"280,21","280,21","280,21","280,21",,"0,72%",280.21,280.21,280.21,280.21
20/01/2017,"281,32","281,32","281,32","281,32",,"0,40%",281.32,281.32,281.32,281.32
23/01/2017,"278,96","278,96","278,96","278,96",,"-0,84%",278.96,278.96,278.96,278.96
24/01/2017,"277,59","277,59","277,59","277,59",,"-0,49%",277.59,277.59,277.59,277.59
25/01/2017,"277,30","277,30","277,30","277,30",,"-0,10%",277.3,277.3,277.3,277.3
26/01/2017,"276,98","276,98","276,98","276,98",,"-0,12%",276.98,276.98,276.98,276.98
27/01/2017,"277,11","277,11","277,11","277,11",,"0,05%",277.11,277.11,277.11,277.11
30/01/2017,"276,32","276,32","276,32","276,32",,"-0,29%",276.32,276.32,276.32,276.32
31/01/2017,"277,66","277,66","277,66","277,66",,"0,48%",277.66,277.66,277.66,277.66
01/02/2017,"277,21","277,21","277,21","277,21",,"-0,16%",277.21,277.21,277.21,277.21
02/02/2017,"278,36","278,36","278,36","278,36",,"0,41%",278.36,278.36,278.36,278.36
03/02/2017,"279,63","279,63","279,63","279,63",,"0,46%",279.63,279.63,279.63,279.63
06/02/2017,"279,40","279,40","279,40","279,40",,"-0,08%",279.4,279.4,279.4,279.4
07/02/2017,"280,19","280,19","280,19","280,19",,"0,28%",280.19,280.19,280.19,280.19
08/02/2017,"279,47","279,47","279,47","279,47",,"-0,26%",279.47,279.47,279.47,279.47
09/02/2017,"279,38","279,38","279,38","279,38",,"-0,03%",279.38,279.38,279.38,279.38
10/02/2017,"282,16","282,16","282,16","282,16",,"1,00%",282.16,282.16,282.16,282.16
13/02/2017,"281,06","281,06","281,06","281,06",,"-0,39%",281.06,281.06,281.06,281.06
14/02/2017,"281,30","281,30","281,30","281,30",,"0,09%",281.3,281.3,281.3,281.3
15/02/2017,"281,43","281,43","281,43","281,43",,"0,05%",281.43,281.43,281.43,281.43
16/02/2017,"281,84","281,84","281,84","281,84",,"0,15%",281.84,281.84,281.84,281.84
17/02/2017,"281,76","281,76","281,76","281,76",,"-0,03%",281.76,281.76,281.76,281.76
18/02/2017,"281,76","281,76","281,76","281,76",,"0,00%",281.76,281.76,281.76,281.76
20/02/2017,"282,57","282,57","282,57","282,57",,"0,29%",282.57,282.57,282.57,282.57
21/02/2017,"280,83","280,83","280,83","280,83",,"-0,62%",280.83,280.83,280.83,280.83
22/02/2017,"283,86","283,86","283,86","283,86",,"1,08%",283.86,283.86,283.86,283.86
