Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
05/03/2014,"247,56","247,56","247,56","247,56",,"-0,92%",247.56,247.56,247.56,247.56
06/03/2014,"248,52","248,52","248,52","248,52",,"0,39%",248.52,248.52,248.52,248.52
07/03/2014,"247,34","247,34","247,34","247,34",,"-0,47%",247.34,247.34,247.34,247.34
10/03/2014,"247,34","247,34","247,34","247,34",,"0,00%",247.34,247.34,247.34,247.34
11/03/2014,"247,27","247,27","247,27","247,27",,"-0,03%",247.27,247.27,247.27,247.27
12/03/2014,"245,29","245,29","245,29","245,29",,"-0,80%",245.29,245.29,245.29,245.29
13/03/2014,"245,29","245,29","245,29","245,29",,"0,00%",245.29,245.29,245.29,245.29
14/03/2014,"242,15","242,15","242,15","242,15",,"-1,28%",242.15,242.15,242.15,242.15
17/03/2014,"241,78","241,78","241,78","241,78",,"-0,15%",241.78,241.78,241.78,241.78
18/03/2014,"239,69","239,69","239,69","239,69",,"-0,86%",239.69,239.69,239.69,239.69
19/03/2014,"240,14","240,14","240,14","240,14",,"0,19%",240.14,240.14,240.14,240.14
20/03/2014,"239,39","239,39","239,39","239,39",,"-0,31%",239.39,239.39,239.39,239.39
21/03/2014,"241,78","241,78","241,78","241,78",,"1,00%",241.78,241.78,241.78,241.78
24/03/2014,"242,51","242,51","242,51","242,51",,"0,30%",242.51,242.51,242.51,242.51
25/03/2014,"242,06","242,06","242,06","242,06",,"-0,19%",242.06,242.06,242.06,242.06
26/03/2014,"242,56","242,56","242,56","242,56",,"0,21%",242.56,242.56,242.56,242.56
27/03/2014,"244,47","244,47","244,47","244,47",,"0,79%",244.47,244.47,244.47,244.47
28/03/2014,"244,47","244,47","244,47","244,47",,"0,00%",244.47,244.47,244.47,244.47
31/03/2014,"245,05","245,05","245,05","245,05",,"0,24%",245.05,245.05,245.05,245.05
01/04/2014,"245,59","245,59","245,59","245,59",,"0,22%",245.59,245.59,245.59,245.59
02/04/2014,"248,50","248,50","248,50","248,50",,"1,18%",248.5,248.5,248.5,248.5
03/04/2014,"246,93","246,93","246,93","246,93",,"-0,63%",246.93,246.93,246.93,246.93
04/04/2014,"250,66","250,66","250,66","250,66",,"1,51%",250.66,250.66,250.66,250.66
07/04/2014,"250,91","250,91","250,91","250,91",,"0,10%",250.91,250.91,250.91,250.91
08/04/2014,"244,92","244,92","244,92","244,92",,"-2,39%",244.92,244.92,244.92,244.92
09/04/2014,"243,69","243,69","243,69","243,69",,"-0,50%",243.69,243.69,243.69,243.69
10/04/2014,"243,69","243,69","243,69","243,69",,"0,00%",243.69,243.69,243.69,243.69
11/04/2014,"243,69","243,69","243,69","243,69",,"0,00%",243.69,243.69,243.69,243.69
14/04/2014,"268,89","268,89","268,89","268,89",,"10,34%",268.89,268.89,268.89,268.89
15/04/2014,"242,64","242,64","242,64","242,64",,"-9,76%",242.64,242.64,242.64,242.64
16/04/2014,"240,78","240,78","240,78","240,78",,"-0,77%",240.78,240.78,240.78,240.78
17/04/2014,"247,42","247,42","247,42","247,42",,"2,76%",247.42,247.42,247.42,247.42
18/04/2014,"246,70","246,70","246,70","246,70",,"-0,29%",246.7,246.7,246.7,246.7
22/04/2014,"250,78","250,78","250,78","250,78",,"1,65%",250.78,250.78,250.78,250.78
23/04/2014,"249,93","249,93","249,93","249,93",,"-0,34%",249.93,249.93,249.93,249.93
24/04/2014,"249,77","249,77","249,77","249,77",,"-0,06%",249.77,249.77,249.77,249.77
25/04/2014,"248,89","248,89","248,89","248,89",,"-0,35%",248.89,248.89,248.89,248.89
28/04/2014,"245,50","245,50","245,50","245,50",,"-1,36%",245.5,245.5,245.5,245.5
29/04/2014,"243,93","243,93","243,93","243,93",,"-0,64%",243.93,243.93,243.93,243.93
30/04/2014,"247,52","247,52","247,52","247,52",,"1,47%",247.52,247.52,247.52,247.52
02/05/2014,"247,86","247,86","247,86","247,86",,"0,14%",247.86,247.86,247.86,247.86
05/05/2014,"246,95","246,95","246,95","246,95",,"-0,37%",246.95,246.95,246.95,246.95
06/05/2014,"244,96","244,96","244,96","244,96",,"-0,81%",244.96,244.96,244.96,244.96
07/05/2014,"242,57","242,57","242,57","242,57",,"-0,98%",242.57,242.57,242.57,242.57
08/05/2014,"239,71","239,71","239,71","239,71",,"-1,18%",239.71,239.71,239.71,239.71
09/05/2014,"238,59","238,59","238,59","238,59",,"-0,47%",238.59,238.59,238.59,238.59
13/05/2014,"237,42","237,42","237,42","237,42",,"-0,49%",237.42,237.42,237.42,237.42
14/05/2014,"237,94","237,94","237,94","237,94",,"0,22%",237.94,237.94,237.94,237.94
15/05/2014,"237,93","237,93","237,93","237,93",,"0,00%",237.93,237.93,237.93,237.93
16/05/2014,"240,16","240,16","240,16","240,16",,"0,94%",240.16,240.16,240.16,240.16
19/05/2014,"246,04","246,04","246,04","246,04",,"2,45%",246.04,246.04,246.04,246.04
20/05/2014,"245,35","245,35","245,35","245,35",,"-0,28%",245.35,245.35,245.35,245.35
21/05/2014,"240,50","240,50","240,50","240,50",,"-1,98%",240.5,240.5,240.5,240.5
22/05/2014,"240,43","240,43","240,43","240,43",,"-0,03%",240.43,240.43,240.43,240.43
23/05/2014,"240,48","240,48","240,48","240,48",,"0,02%",240.48,240.48,240.48,240.48
26/05/2014,"240,80","240,80","240,80","240,80",,"0,13%",240.8,240.8,240.8,240.8
27/05/2014,"240,94","240,94","240,94","240,94",,"0,06%",240.94,240.94,240.94,240.94
28/05/2014,"240,94","240,94","240,94","240,94",,"0,00%",240.94,240.94,240.94,240.94
30/05/2014,"240,58","240,58","240,58","240,58",,"-0,15%",240.58,240.58,240.58,240.58
02/06/2014,"241,46","241,46","241,46","241,46",,"0,37%",241.46,241.46,241.46,241.46
03/06/2014,"242,84","242,84","242,84","242,84",,"0,57%",242.84,242.84,242.84,242.84
04/06/2014,"249,45","249,45","249,45","249,45",,"2,72%",249.45,249.45,249.45,249.45
05/06/2014,"251,29","251,29","251,29","251,29",,"0,74%",251.29,251.29,251.29,251.29
06/06/2014,"258,34","258,34","258,34","258,34",,"2,81%",258.34,258.34,258.34,258.34
10/06/2014,"258,34","258,34","258,34","258,34",,"0,00%",258.34,258.34,258.34,258.34
11/06/2014,"259,08","259,08","259,08","259,08",,"0,29%",259.08,259.08,259.08,259.08
12/06/2014,"261,39","261,39","261,39","261,39",,"0,89%",261.39,261.39,261.39,261.39
13/06/2014,"256,17","256,17","256,17","256,17",,"-2,00%",256.17,256.17,256.17,256.17
16/06/2014,"259,07","259,07","259,07","259,07",,"1,13%",259.07,259.07,259.07,259.07
17/06/2014,"258,35","258,35","258,35","258,35",,"-0,28%",258.35,258.35,258.35,258.35
18/06/2014,"249,64","249,64","249,64","249,64",,"-3,37%",249.64,249.64,249.64,249.64
19/06/2014,"248,82","248,82","248,82","248,82",,"-0,33%",248.82,248.82,248.82,248.82
20/06/2014,"249,50","249,50","249,50","249,50",,"0,27%",249.5,249.5,249.5,249.5
23/06/2014,"250,32","250,32","250,32","250,32",,"0,33%",250.32,250.32,250.32,250.32
24/06/2014,"250,37","250,37","250,37","250,37",,"0,02%",250.37,250.37,250.37,250.37
25/06/2014,"245,21","245,21","245,21","245,21",,"-2,06%",245.21,245.21,245.21,245.21
26/06/2014,"250,34","250,34","250,34","250,34",,"2,09%",250.34,250.34,250.34,250.34
27/06/2014,"250,34","250,34","250,34","250,34",,"0,00%",250.34,250.34,250.34,250.34
30/06/2014,"249,87","249,87","249,87","249,87",,"-0,19%",249.87,249.87,249.87,249.87
01/07/2014,"249,49","249,49","249,49","249,49",,"-0,15%",249.49,249.49,249.49,249.49
02/07/2014,"250,54","250,54","250,54","250,54",,"0,42%",250.54,250.54,250.54,250.54
03/07/2014,"249,03","249,03","249,03","249,03",,"-0,60%",249.03,249.03,249.03,249.03
04/07/2014,"247,47","247,47","247,47","247,47",,"-0,63%",247.47,247.47,247.47,247.47
