Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
07/03/2014,"85,96","85,96","85,96","85,96",,"2,01%",85.96,85.96,85.96,85.96
10/03/2014,"84,72","84,72","84,72","84,72",,"-1,44%",84.72,84.72,84.72,84.72
11/03/2014,"83,94","83,94","83,94","83,94",,"-0,92%",83.94,83.94,83.94,83.94
12/03/2014,"83,19","83,19","83,19","83,19",,"-0,89%",83.19,83.19,83.19,83.19
13/03/2014,"83,22","83,22","83,22","83,22",,"0,04%",83.22,83.22,83.22,83.22
14/03/2014,"83,04","83,04","83,04","83,04",,"-0,22%",83.04,83.04,83.04,83.04
17/03/2014,"82,63","82,63","82,63","82,63",,"-0,49%",82.63,82.63,82.63,82.63
18/03/2014,"82,58","82,58","82,58","82,58",,"-0,06%",82.58,82.58,82.58,82.58
19/03/2014,"81,36","81,36","81,36","81,36",,"-1,48%",81.36,81.36,81.36,81.36
20/03/2014,"82,18","82,18","82,18","82,18",,"1,01%",82.18,82.18,82.18,82.18
21/03/2014,"82,42","82,42","82,42","82,42",,"0,29%",82.42,82.42,82.42,82.42
24/03/2014,"81,29","81,29","81,29","81,29",,"-1,37%",81.29,81.29,81.29,81.29
25/03/2014,"81,93","81,93","81,93","81,93",,"0,79%",81.93,81.93,81.93,81.93
26/03/2014,"82,80","82,80","82,80","82,80",,"1,06%",82.8,82.8,82.8,82.8
27/03/2014,"82,77","82,77","82,77","82,77",,"-0,04%",82.77,82.77,82.77,82.77
28/03/2014,"82,65","82,65","82,65","82,65",,"-0,14%",82.65,82.65,82.65,82.65
31/03/2014,"82,68","82,68","82,68","82,68",,"0,04%",82.68,82.68,82.68,82.68
01/04/2014,"82,99","82,99","82,99","82,99",,"0,37%",82.99,82.99,82.99,82.99
02/04/2014,"82,05","82,05","82,05","82,05",,"-1,13%",82.05,82.05,82.05,82.05
03/04/2014,"82,14","82,14","82,14","82,14",,"0,11%",82.14,82.14,82.14,82.14
04/04/2014,"82,12","82,12","82,12","82,12",,"-0,02%",82.12,82.12,82.12,82.12
07/04/2014,"82,12","82,12","82,12","82,12",,"0,00%",82.12,82.12,82.12,82.12
08/04/2014,"81,13","81,13","81,13","81,13",,"-1,21%",81.13,81.13,81.13,81.13
09/04/2014,"81,57","81,57","81,57","81,57",,"0,54%",81.57,81.57,81.57,81.57
10/04/2014,"81,51","81,51","81,51","81,51",,"-0,07%",81.51,81.51,81.51,81.51
11/04/2014,"81,58","81,58","81,58","81,58",,"0,09%",81.58,81.58,81.58,81.58
