Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
10/03/2014,"160,79","160,79","160,79","160,79",,"0,22%",160.79,160.79,160.79,160.79
11/03/2014,"160,70","160,70","160,70","160,70",,"-0,06%",160.7,160.7,160.7,160.7
12/03/2014,"160,99","160,99","160,99","160,99",,"0,18%",160.99,160.99,160.99,160.99
13/03/2014,"159,83","159,83","159,83","159,83",,"-0,72%",159.83,159.83,159.83,159.83
14/03/2014,"159,83","159,83","159,83","159,83",,"0,00%",159.83,159.83,159.83,159.83
17/03/2014,"161,03","161,03","161,03","161,03",,"0,75%",161.03,161.03,161.03,161.03
18/03/2014,"161,03","161,03","161,03","161,03",,"0,00%",161.03,161.03,161.03,161.03
19/03/2014,"160,90","160,90","160,90","160,90",,"-0,08%",160.9,160.9,160.9,160.9
20/03/2014,"158,45","158,45","158,45","158,45",,"-1,52%",158.45,158.45,158.45,158.45
21/03/2014,"157,32","157,32","157,32","157,32",,"-0,71%",157.32,157.32,157.32,157.32
24/03/2014,"156,33","156,33","156,33","156,33",,"-0,63%",156.33,156.33,156.33,156.33
25/03/2014,"161,25","161,25","161,25","161,25",,"3,15%",161.25,161.25,161.25,161.25
26/03/2014,"160,13","160,13","160,13","160,13",,"-0,69%",160.13,160.13,160.13,160.13
27/03/2014,"155,79","155,79","155,79","155,79",,"-2,71%",155.79,155.79,155.79,155.79
28/03/2014,"160,45","160,45","160,45","160,45",,"2,99%",160.45,160.45,160.45,160.45
31/03/2014,"159,72","159,72","159,72","159,72",,"-0,45%",159.72,159.72,159.72,159.72
01/04/2014,"159,78","159,78","159,78","159,78",,"0,04%",159.78,159.78,159.78,159.78
02/04/2014,"159,77","159,77","159,77","159,77",,"-0,01%",159.77,159.77,159.77,159.77
03/04/2014,"165,05","165,05","165,05","165,05",,"3,30%",165.05,165.05,165.05,165.05
04/04/2014,"165,55","165,55","165,55","165,55",,"0,30%",165.55,165.55,165.55,165.55
07/04/2014,"165,38","165,38","165,38","165,38",,"-0,10%",165.38,165.38,165.38,165.38
08/04/2014,"165,39","165,39","165,39","165,39",,"0,01%",165.39,165.39,165.39,165.39
09/04/2014,"165,45","165,45","165,45","165,45",,"0,04%",165.45,165.45,165.45,165.45
10/04/2014,"165,33","165,33","165,33","165,33",,"-0,07%",165.33,165.33,165.33,165.33
11/04/2014,"165,02","165,02","165,02","165,02",,"-0,19%",165.02,165.02,165.02,165.02
14/04/2014,"147,38","147,38","147,38","147,38",,"-10,69%",147.38,147.38,147.38,147.38
15/04/2014,"165,23","165,23","165,23","165,23",,"12,11%",165.23,165.23,165.23,165.23
16/04/2014,"165,00","165,00","165,00","165,00",,"-0,14%",165.0,165.0,165.0,165.0
17/04/2014,"166,33","166,33","166,33","166,33",,"0,81%",166.33,166.33,166.33,166.33
18/04/2014,"166,85","166,85","166,85","166,85",,"0,31%",166.85,166.85,166.85,166.85
22/04/2014,"169,78","169,78","169,78","169,78",,"1,76%",169.78,169.78,169.78,169.78
23/04/2014,"169,74","169,74","169,74","169,74",,"-0,02%",169.74,169.74,169.74,169.74
24/04/2014,"169,63","169,63","169,63","169,63",,"-0,06%",169.63,169.63,169.63,169.63
25/04/2014,"169,28","169,28","169,28","169,28",,"-0,21%",169.28,169.28,169.28,169.28
28/04/2014,"168,58","168,58","168,58","168,58",,"-0,41%",168.58,168.58,168.58,168.58
29/04/2014,"167,86","167,86","167,86","167,86",,"-0,43%",167.86,167.86,167.86,167.86
30/04/2014,"167,83","167,83","167,83","167,83",,"-0,02%",167.83,167.83,167.83,167.83
02/05/2014,"167,65","167,65","167,65","167,65",,"-0,11%",167.65,167.65,167.65,167.65
05/05/2014,"167,51","167,51","167,51","167,51",,"-0,08%",167.51,167.51,167.51,167.51
06/05/2014,"166,94","166,94","166,94","166,94",,"-0,34%",166.94,166.94,166.94,166.94
07/05/2014,"166,78","166,78","166,78","166,78",,"-0,10%",166.78,166.78,166.78,166.78
08/05/2014,"166,76","166,76","166,76","166,76",,"-0,01%",166.76,166.76,166.76,166.76
09/05/2014,"166,76","166,76","166,76","166,76",,"0,00%",166.76,166.76,166.76,166.76
13/05/2014,"167,18","167,18","167,18","167,18",,"0,25%",167.18,167.18,167.18,167.18
14/05/2014,"166,57","166,57","166,57","166,57",,"-0,36%",166.57,166.57,166.57,166.57
15/05/2014,"161,84","161,84","161,84","161,84",,"-2,84%",161.84,161.84,161.84,161.84
16/05/2014,"166,63","166,63","166,63","166,63",,"2,96%",166.63,166.63,166.63,166.63
19/05/2014,"165,59","165,59","165,59","165,59",,"-0,62%",165.59,165.59,165.59,165.59
20/05/2014,"167,01","167,01","167,01","167,01",,"0,86%",167.01,167.01,167.01,167.01
21/05/2014,"167,70","167,70","167,70","167,70",,"0,41%",167.7,167.7,167.7,167.7
22/05/2014,"168,39","168,39","168,39","168,39",,"0,41%",168.39,168.39,168.39,168.39
23/05/2014,"169,14","169,14","169,14","169,14",,"0,45%",169.14,169.14,169.14,169.14
26/05/2014,"169,26","169,26","169,26","169,26",,"0,07%",169.26,169.26,169.26,169.26
27/05/2014,"169,11","169,11","169,11","169,11",,"-0,09%",169.11,169.11,169.11,169.11
28/05/2014,"169,14","169,14","169,14","169,14",,"0,02%",169.14,169.14,169.14,169.14
30/05/2014,"168,87","168,87","168,87","168,87",,"-0,16%",168.87,168.87,168.87,168.87
02/06/2014,"170,31","170,31","170,31","170,31",,"0,85%",170.31,170.31,170.31,170.31
03/06/2014,"169,78","169,78","169,78","169,78",,"-0,31%",169.78,169.78,169.78,169.78
04/06/2014,"168,65","168,65","168,65","168,65",,"-0,67%",168.65,168.65,168.65,168.65
05/06/2014,"169,60","169,60","169,60","169,60",,"0,56%",169.6,169.6,169.6,169.6
06/06/2014,"169,08","169,08","169,08","169,08",,"-0,31%",169.08,169.08,169.08,169.08
10/06/2014,"168,59","168,59","168,59","168,59",,"-0,29%",168.59,168.59,168.59,168.59
11/06/2014,"169,76","169,76","169,76","169,76",,"0,69%",169.76,169.76,169.76,169.76
12/06/2014,"169,37","169,37","169,37","169,37",,"-0,23%",169.37,169.37,169.37,169.37
13/06/2014,"168,36","168,36","168,36","168,36",,"-0,60%",168.36,168.36,168.36,168.36
16/06/2014,"169,10","169,10","169,10","169,10",,"0,44%",169.1,169.1,169.1,169.1
17/06/2014,"169,47","169,47","169,47","169,47",,"0,22%",169.47,169.47,169.47,169.47
18/06/2014,"169,78","169,78","169,78","169,78",,"0,18%",169.78,169.78,169.78,169.78
19/06/2014,"169,64","169,64","169,64","169,64",,"-0,08%",169.64,169.64,169.64,169.64
20/06/2014,"169,18","169,18","169,18","169,18",,"-0,27%",169.18,169.18,169.18,169.18
23/06/2014,"169,56","169,56","169,56","169,56",,"0,22%",169.56,169.56,169.56,169.56
24/06/2014,"169,68","169,68","169,68","169,68",,"0,07%",169.68,169.68,169.68,169.68
25/06/2014,"170,07","170,07","170,07","170,07",,"0,23%",170.07,170.07,170.07,170.07
26/06/2014,"170,57","170,57","170,57","170,57",,"0,29%",170.57,170.57,170.57,170.57
27/06/2014,"168,19","168,19","168,19","168,19",,"-1,40%",168.19,168.19,168.19,168.19
30/06/2014,"168,46","168,46","168,46","168,46",,"0,16%",168.46,168.46,168.46,168.46
01/07/2014,"168,48","168,48","168,48","168,48",,"0,01%",168.48,168.48,168.48,168.48
02/07/2014,"166,55","166,55","166,55","166,55",,"-1,15%",166.55,166.55,166.55,166.55
03/07/2014,"168,16","168,16","168,16","168,16",,"0,97%",168.16,168.16,168.16,168.16
04/07/2014,"167,94","167,94","167,94","167,94",,"-0,13%",167.94,167.94,167.94,167.94
07/07/2014,"168,17","168,17","168,17","168,17",,"0,14%",168.17,168.17,168.17,168.17
08/07/2014,"161,87","161,87","161,87","161,87",,"-3,75%",161.87,161.87,161.87,161.87
09/07/2014,"161,97","161,97","161,97","161,97",,"0,06%",161.97,161.97,161.97,161.97
10/07/2014,"163,48","163,48","163,48","163,48",,"0,93%",163.48,163.48,163.48,163.48
11/07/2014,"162,38","162,38","162,38","162,38",,"-0,67%",162.38,162.38,162.38,162.38
14/07/2014,"162,84","162,84","162,84","162,84",,"0,28%",162.84,162.84,162.84,162.84
15/07/2014,"163,58","163,58","163,58","163,58",,"0,45%",163.58,163.58,163.58,163.58
16/07/2014,"163,04","163,04","163,04","163,04",,"-0,33%",163.04,163.04,163.04,163.04
17/07/2014,"161,34","161,34","161,34","161,34",,"-1,04%",161.34,161.34,161.34,161.34
18/07/2014,"159,98","159,98","159,98","159,98",,"-0,84%",159.98,159.98,159.98,159.98
21/07/2014,"160,35","160,35","160,35","160,35",,"0,23%",160.35,160.35,160.35,160.35
22/07/2014,"160,42","160,42","160,42","160,42",,"0,04%",160.42,160.42,160.42,160.42
23/07/2014,"160,34","160,34","160,34","160,34",,"-0,05%",160.34,160.34,160.34,160.34
25/07/2014,"159,48","159,48","159,48","159,48",,"-0,54%",159.48,159.48,159.48,159.48
29/07/2014,"159,65","159,65","159,65","159,65",,"0,11%",159.65,159.65,159.65,159.65
30/07/2014,"162,12","162,12","162,12","162,12",,"1,55%",162.12,162.12,162.12,162.12
31/07/2014,"161,41","161,41","161,41","161,41",,"-0,44%",161.41,161.41,161.41,161.41
01/08/2014,"161,71","161,71","161,71","161,71",,"0,19%",161.71,161.71,161.71,161.71
04/08/2014,"159,96","159,96","159,96","159,96",,"-1,08%",159.96,159.96,159.96,159.96
05/08/2014,"159,77","159,77","159,77","159,77",,"-0,12%",159.77,159.77,159.77,159.77
06/08/2014,"158,52","158,52","158,52","158,52",,"-0,78%",158.52,158.52,158.52,158.52
08/08/2014,"158,39","158,39","158,39","158,39",,"-0,08%",158.39,158.39,158.39,158.39
11/08/2014,"158,01","158,01","158,01","158,01",,"-0,24%",158.01,158.01,158.01,158.01
12/08/2014,"157,94","157,94","157,94","157,94",,"-0,04%",157.94,157.94,157.94,157.94
13/08/2014,"158,10","158,10","158,10","158,10",,"0,10%",158.1,158.1,158.1,158.1
14/08/2014,"159,07","159,07","159,07","159,07",,"0,61%",159.07,159.07,159.07,159.07
18/08/2014,"158,74","158,74","158,74","158,74",,"-0,21%",158.74,158.74,158.74,158.74
19/08/2014,"158,62","158,62","158,62","158,62",,"-0,08%",158.62,158.62,158.62,158.62
20/08/2014,"160,38","160,38","160,38","160,38",,"1,11%",160.38,160.38,160.38,160.38
21/08/2014,"159,55","159,55","159,55","159,55",,"-0,52%",159.55,159.55,159.55,159.55
22/08/2014,"160,34","160,34","160,34","160,34",,"0,50%",160.34,160.34,160.34,160.34
25/08/2014,"160,59","160,59","160,59","160,59",,"0,16%",160.59,160.59,160.59,160.59
26/08/2014,"161,58","161,58","161,58","161,58",,"0,62%",161.58,161.58,161.58,161.58
27/08/2014,"161,09","161,09","161,09","161,09",,"-0,30%",161.09,161.09,161.09,161.09
28/08/2014,"160,08","160,08","160,08","160,08",,"-0,63%",160.08,160.08,160.08,160.08
