Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
30/04/2014,40.0,40.0,40.0,40.0,"0,14K","2,56%",40.0,40.0,40.0,40.0
02/05/2014,40.0,40.0,40.0,40.0,"0,00K","0,00%",40.0,40.0,40.0,40.0
05/05/2014,40.0,40.0,40.0,40.0,"0,04K","0,00%",40.0,40.0,40.0,40.0
08/05/2014,40.0,40.0,40.0,40.0,"0,01K","0,00%",40.0,40.0,40.0,40.0
15/05/2014,40.0,40.0,40.0,40.0,"0,00K","0,00%",40.0,40.0,40.0,40.0
19/05/2014,40.0,40.0,40.0,40.0,"0,02K","0,00%",40.0,40.0,40.0,40.0
20/05/2014,39.2,39.2,39.2,39.2,"0,01K","-2,00%",39.2,39.2,39.2,39.2
21/05/2014,40.0,40.0,40.0,40.0,"0,00K","2,04%",40.0,40.0,40.0,40.0
26/05/2014,40.2,40.2,40.2,40.2,"0,02K","0,50%",40.2,40.2,40.2,40.2
27/05/2014,40.2,40.2,40.2,40.2,"0,01K","0,00%",40.2,40.2,40.2,40.2
30/05/2014,40.0,40.0,40.0,40.0,"0,02K","-0,50%",40.0,40.0,40.0,40.0
02/06/2014,41.0,41.0,41.0,41.0,"0,03K","2,50%",41.0,41.0,41.0,41.0
04/06/2014,43.0,43.0,43.0,43.0,"0,00K","4,88%",43.0,43.0,43.0,43.0
05/06/2014,43.0,43.0,43.0,43.0,"0,01K","0,00%",43.0,43.0,43.0,43.0
06/06/2014,45.9,45.9,45.9,45.9,"0,00K","6,74%",45.9,45.9,45.9,45.9
11/06/2014,42.465,42.465,42.465,42.465,"0,00K","-7,48%",42.465,42.465,42.465,42.465
12/06/2014,43.31,43.31,43.31,43.31,"0,01K","1,99%",43.31,43.31,43.31,43.31
13/06/2014,44.0,44.0,44.0,44.0,"0,00K","1,59%",44.0,44.0,44.0,44.0
17/06/2014,43.0,43.0,43.0,43.0,"0,01K","-2,27%",43.0,43.0,43.0,43.0
20/06/2014,43.0,43.0,43.0,43.0,"0,01K","0,00%",43.0,43.0,43.0,43.0
23/06/2014,43.0,43.0,43.0,43.0,"0,04K","0,00%",43.0,43.0,43.0,43.0
24/06/2014,43.005,43.005,43.005,43.005,"0,02K","0,01%",43.005,43.005,43.005,43.005
26/06/2014,45.0,45.0,45.0,45.0,"0,04K","4,64%",45.0,45.0,45.0,45.0
30/06/2014,45.0,45.0,45.0,45.0,"0,01K","0,00%",45.0,45.0,45.0,45.0
01/07/2014,45.0,45.0,45.0,45.0,"0,01K","0,00%",45.0,45.0,45.0,45.0
02/07/2014,45.0,45.0,45.0,45.0,"0,02K","0,00%",45.0,45.0,45.0,45.0
03/07/2014,44.0,44.0,44.0,44.0,"0,01K","-2,22%",44.0,44.0,44.0,44.0
09/07/2014,44.0,44.0,44.0,44.0,"0,01K","0,00%",44.0,44.0,44.0,44.0
10/07/2014,45.0,45.0,45.0,45.0,"0,05K","2,27%",45.0,45.0,45.0,45.0
11/07/2014,44.0,44.0,44.0,44.0,"0,00K","-2,22%",44.0,44.0,44.0,44.0
21/07/2014,43.5,43.5,43.5,43.5,"0,03K","-1,14%",43.5,43.5,43.5,43.5
22/07/2014,44.0,44.0,44.0,44.0,"0,15K","1,15%",44.0,44.0,44.0,44.0
23/07/2014,44.0,44.0,44.0,44.0,"0,11K","0,00%",44.0,44.0,44.0,44.0
25/07/2014,44.0,44.0,44.0,44.0,"0,00K","0,00%",44.0,44.0,44.0,44.0
29/07/2014,44.0,44.0,44.0,44.0,"0,02K","0,00%",44.0,44.0,44.0,44.0
30/07/2014,44.05,44.05,44.05,44.05,"0,01K","0,11%",44.05,44.05,44.05,44.05
31/07/2014,45.0,45.0,45.0,45.0,"0,02K","2,16%",45.0,45.0,45.0,45.0
04/08/2014,44.0,44.0,44.0,44.0,"0,01K","-2,22%",44.0,44.0,44.0,44.0
05/08/2014,44.0,44.0,44.0,44.0,"0,01K","0,00%",44.0,44.0,44.0,44.0
06/08/2014,45.0,45.0,45.0,45.0,"0,04K","2,27%",45.0,45.0,45.0,45.0
08/08/2014,47.0,47.0,47.0,47.0,"0,15K","4,44%",47.0,47.0,47.0,47.0
14/08/2014,46.0,46.0,46.0,46.0,"0,02K","-2,13%",46.0,46.0,46.0,46.0
18/08/2014,46.95,46.95,46.95,46.95,"0,08K","2,07%",46.95,46.95,46.95,46.95
19/08/2014,47.005,47.005,47.005,47.005,"0,11K","0,12%",47.005,47.005,47.005,47.005
20/08/2014,47.005,47.005,47.005,47.005,"0,00K","0,00%",47.005,47.005,47.005,47.005
25/08/2014,49.5,49.5,49.5,49.5,"1,39K","5,31%",49.5,49.5,49.5,49.5
28/08/2014,49.4,49.4,49.4,49.4,"0,01K","-0,20%",49.4,49.4,49.4,49.4
01/09/2014,49.5,49.5,49.5,49.5,"0,10K","0,20%",49.5,49.5,49.5,49.5
02/09/2014,49.5,49.5,49.5,49.5,"0,05K","0,00%",49.5,49.5,49.5,49.5
03/09/2014,50.0,50.0,50.0,50.0,"0,04K","1,01%",50.0,50.0,50.0,50.0
04/09/2014,50.0,50.0,50.0,50.0,"0,01K","0,00%",50.0,50.0,50.0,50.0
05/09/2014,50.0,50.0,50.0,50.0,"0,01K","0,00%",50.0,50.0,50.0,50.0
12/09/2014,50.0,50.0,50.0,50.0,"0,08K","0,00%",50.0,50.0,50.0,50.0
17/09/2014,50.0,50.0,50.0,50.0,"0,01K","0,00%",50.0,50.0,50.0,50.0
19/09/2014,50.0,50.0,50.0,50.0,"0,00K","0,00%",50.0,50.0,50.0,50.0
22/09/2014,50.0,50.0,50.0,50.0,"0,00K","0,00%",50.0,50.0,50.0,50.0
25/09/2014,48.5,48.5,48.5,48.5,"0,05K","-3,00%",48.5,48.5,48.5,48.5
29/09/2014,50.0,50.0,50.0,50.0,"0,01K","3,09%",50.0,50.0,50.0,50.0
30/09/2014,50.0,50.0,50.0,50.0,"0,02K","0,00%",50.0,50.0,50.0,50.0
