Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
29/04/2014,45.0,45.0,45.0,45.0,"0,21K","0,00%",45.0,45.0,45.0,45.0
30/04/2014,45.0,45.0,45.0,45.0,"0,06K","0,00%",45.0,45.0,45.0,45.0
02/05/2014,41.625,41.625,41.625,41.625,"0,55K","-7,50%",41.625,41.625,41.625,41.625
05/05/2014,44.5,44.5,44.5,44.5,"0,05K","6,91%",44.5,44.5,44.5,44.5
06/05/2014,44.005,44.005,44.005,44.005,"0,13K","-1,11%",44.005,44.005,44.005,44.005
07/05/2014,44.015,44.015,44.015,44.015,"0,02K","0,02%",44.015,44.015,44.015,44.015
08/05/2014,42.0,42.0,42.0,42.0,"0,04K","-4,58%",42.0,42.0,42.0,42.0
09/05/2014,44.0,44.0,44.0,44.0,"0,02K","4,76%",44.0,44.0,44.0,44.0
12/05/2014,42.0,42.0,42.0,42.0,"0,06K","-4,55%",42.0,42.0,42.0,42.0
13/05/2014,44.5,44.5,44.5,44.5,"0,01K","5,95%",44.5,44.5,44.5,44.5
14/05/2014,44.5,44.5,44.5,44.5,"0,01K","0,00%",44.5,44.5,44.5,44.5
15/05/2014,44.5,44.5,44.5,44.5,"0,01K","0,00%",44.5,44.5,44.5,44.5
16/05/2014,44.495,44.495,44.495,44.495,"0,02K","-0,01%",44.495,44.495,44.495,44.495
19/05/2014,44.5,44.5,44.5,44.5,"0,02K","0,01%",44.5,44.5,44.5,44.5
20/05/2014,44.5,44.5,44.5,44.5,"0,02K","0,00%",44.5,44.5,44.5,44.5
21/05/2014,44.0,44.0,44.0,44.0,"0,34K","-1,12%",44.0,44.0,44.0,44.0
22/05/2014,44.0,44.0,44.0,44.0,"0,27K","0,00%",44.0,44.0,44.0,44.0
23/05/2014,44.5,44.5,44.5,44.5,"0,11K","1,14%",44.5,44.5,44.5,44.5
26/05/2014,44.0,44.0,44.0,44.0,"0,01K","-1,12%",44.0,44.0,44.0,44.0
27/05/2014,44.5,44.5,44.5,44.5,"0,01K","1,14%",44.5,44.5,44.5,44.5
28/05/2014,44.4,44.4,44.4,44.4,"2,24K","-0,22%",44.4,44.4,44.4,44.4
30/05/2014,45.0,45.0,45.0,45.0,"0,05K","1,35%",45.0,45.0,45.0,45.0
02/06/2014,45.0,45.0,45.0,45.0,"0,02K","0,00%",45.0,45.0,45.0,45.0
03/06/2014,45.1,45.1,45.1,45.1,"0,00K","0,22%",45.1,45.1,45.1,45.1
04/06/2014,45.005,45.005,45.005,45.005,"0,00K","-0,21%",45.005,45.005,45.005,45.005
05/06/2014,45.0,45.0,45.0,45.0,"0,05K","-0,01%",45.0,45.0,45.0,45.0
06/06/2014,45.0,45.0,45.0,45.0,"0,00K","0,00%",45.0,45.0,45.0,45.0
10/06/2014,45.0,45.0,45.0,45.0,"0,07K","0,00%",45.0,45.0,45.0,45.0
11/06/2014,45.0,45.0,45.0,45.0,"0,06K","0,00%",45.0,45.0,45.0,45.0
12/06/2014,43.0,43.0,43.0,43.0,"0,04K","-4,44%",43.0,43.0,43.0,43.0
13/06/2014,45.0,45.0,45.0,45.0,"0,01K","4,65%",45.0,45.0,45.0,45.0
16/06/2014,43.505,43.505,43.505,43.505,"0,02K","-3,32%",43.505,43.505,43.505,43.505
17/06/2014,45.0,45.0,45.0,45.0,"0,12K","3,44%",45.0,45.0,45.0,45.0
18/06/2014,46.0,46.0,46.0,46.0,"0,05K","2,22%",46.0,46.0,46.0,46.0
