Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
14/12/2017,4.89,4.89,4.89,4.89,"29,27K","5,80%",4.89,4.89,4.89,4.89
15/12/2017,5.199,5.199,5.199,5.199,"92,23K","6,32%",5.199,5.199,5.199,5.199
18/12/2017,5.588,5.588,5.588,5.588,"166,10K","7,48%",5.588,5.588,5.588,5.588
19/12/2017,6.0,6.0,6.0,6.0,"59,70K","7,37%",6.0,6.0,6.0,6.0
20/12/2017,6.3,6.3,6.3,6.3,"350,13K","5,00%",6.3,6.3,6.3,6.3
21/12/2017,6.379,6.379,6.379,6.379,"98,08K","1,25%",6.379,6.379,6.379,6.379
22/12/2017,6.0,6.0,6.0,6.0,"129,13K","-5,94%",6.0,6.0,6.0,6.0
26/12/2017,5.999,5.999,5.999,5.999,"238,34K","-0,02%",5.999,5.999,5.999,5.999
27/12/2017,5.6,5.6,5.6,5.6,"193,92K","-6,65%",5.6,5.6,5.6,5.6
28/12/2017,5.6,5.6,5.6,5.6,"181,84K","0,00%",5.6,5.6,5.6,5.6
29/12/2017,5.936,5.936,5.936,5.936,"198,43K","6,00%",5.936,5.936,5.936,5.936
02/01/2018,5.7,5.7,5.7,5.7,"1,18K","-3,98%",5.7,5.7,5.7,5.7
03/01/2018,5.499,5.499,5.499,5.499,"0,61K","-3,53%",5.499,5.499,5.499,5.499
04/01/2018,5.1,5.1,5.1,5.1,"0,68K","-7,26%",5.1,5.1,5.1,5.1
05/01/2018,5.098,5.098,5.098,5.098,"9,81K","-0,04%",5.098,5.098,5.098,5.098
08/01/2018,4.716,4.716,4.716,4.716,"20,08K","-7,49%",4.716,4.716,4.716,4.716
09/01/2018,4.622,4.622,4.622,4.622,"4,75K","-1,99%",4.622,4.622,4.622,4.622
10/01/2018,4.622,4.622,4.622,4.622,"7,95K","0,00%",4.622,4.622,4.622,4.622
11/01/2018,4.622,4.622,4.622,4.622,"2,79K","0,00%",4.622,4.622,4.622,4.622
12/01/2018,4.622,4.622,4.622,4.622,"9,41K","0,00%",4.622,4.622,4.622,4.622
15/01/2018,4.62,4.62,4.62,4.62,"3,08K","-0,04%",4.62,4.62,4.62,4.62
16/01/2018,4.6,4.6,4.6,4.6,"4,46K","-0,43%",4.6,4.6,4.6,4.6
17/01/2018,4.945,4.945,4.945,4.945,"6,73K","7,50%",4.945,4.945,4.945,4.945
18/01/2018,4.8,4.8,4.8,4.8,"0,64K","-2,93%",4.8,4.8,4.8,4.8
19/01/2018,4.704,4.704,4.704,4.704,"3,05K","-2,00%",4.704,4.704,4.704,4.704
22/01/2018,4.78,4.78,4.78,4.78,"5,23K","1,62%",4.78,4.78,4.78,4.78
23/01/2018,4.685,4.685,4.685,4.685,"1,46K","-1,99%",4.685,4.685,4.685,4.685
24/01/2018,4.8,4.8,4.8,4.8,"0,79K","2,45%",4.8,4.8,4.8,4.8
25/01/2018,5.0,5.0,5.0,5.0,"23,28K","4,17%",5.0,5.0,5.0,5.0
26/01/2018,4.82,4.82,4.82,4.82,"7,44K","-3,60%",4.82,4.82,4.82,4.82
29/01/2018,4.798,4.798,4.798,4.798,"2,75K","-0,46%",4.798,4.798,4.798,4.798
30/01/2018,4.76,4.76,4.76,4.76,"2,32K","-0,79%",4.76,4.76,4.76,4.76
31/01/2018,4.799,4.799,4.799,4.799,"3,00K","0,82%",4.799,4.799,4.799,4.799
01/02/2018,4.8,4.8,4.8,4.8,"13,84K","0,02%",4.8,4.8,4.8,4.8
02/02/2018,4.8,4.8,4.8,4.8,"0,32K","0,00%",4.8,4.8,4.8,4.8
05/02/2018,4.8,4.8,4.8,4.8,"1,59K","0,00%",4.8,4.8,4.8,4.8
06/02/2018,4.76,4.76,4.76,4.76,"1,79K","-0,83%",4.76,4.76,4.76,4.76
07/02/2018,4.799,4.799,4.799,4.799,"2,23K","0,82%",4.799,4.799,4.799,4.799
08/02/2018,4.74,4.74,4.74,4.74,"4,74K","-1,23%",4.74,4.74,4.74,4.74
09/02/2018,4.741,4.741,4.741,4.741,"1,57K","0,02%",4.741,4.741,4.741,4.741
12/02/2018,4.76,4.76,4.76,4.76,"3,66K","0,40%",4.76,4.76,4.76,4.76
13/02/2018,4.72,4.72,4.72,4.72,"1,55K","-0,84%",4.72,4.72,4.72,4.72
14/02/2018,4.98,4.98,4.98,4.98,"4,16K","5,51%",4.98,4.98,4.98,4.98
15/02/2018,5.0,5.0,5.0,5.0,"1,11K","0,40%",5.0,5.0,5.0,5.0
16/02/2018,5.197,5.197,5.197,5.197,"16,44K","3,94%",5.197,5.197,5.197,5.197
19/02/2018,5.1,5.1,5.1,5.1,"0,17K","-1,87%",5.1,5.1,5.1,5.1
20/02/2018,5.1,5.1,5.1,5.1,"985,11K","0,00%",5.1,5.1,5.1,5.1
21/02/2018,5.001,5.001,5.001,5.001,"0,31K","-1,94%",5.001,5.001,5.001,5.001
22/02/2018,4.8,4.8,4.8,4.8,"6,23K","-4,02%",4.8,4.8,4.8,4.8
23/02/2018,4.896,4.896,4.896,4.896,"2,03K","2,00%",4.896,4.896,4.896,4.896
