Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
07/05/2014,"38,00","38,00","38,00","38,00","3,74M","2,70%",38.0,38.0,38.0,38.0
08/05/2014,"38,00","38,00","38,00","38,00","173,32K","0,00%",38.0,38.0,38.0,38.0
09/05/2014,"38,00","38,00","38,00","38,00","77,05K","0,00%",38.0,38.0,38.0,38.0
12/05/2014,"40,00","40,00","40,00","40,00","775,81K","5,26%",40.0,40.0,40.0,40.0
13/05/2014,"40,00","40,00","40,00","40,00","126,02K","0,00%",40.0,40.0,40.0,40.0
14/05/2014,"39,00","39,00","39,00","39,00","335,45K","-2,50%",39.0,39.0,39.0,39.0
15/05/2014,"40,00","40,00","40,00","40,00","278,63K","2,56%",40.0,40.0,40.0,40.0
16/05/2014,"39,00","39,00","39,00","39,00","424,55K","-2,50%",39.0,39.0,39.0,39.0
19/05/2014,"39,00","39,00","39,00","39,00","17,40K","0,00%",39.0,39.0,39.0,39.0
20/05/2014,"40,00","40,00","40,00","40,00","54,23K","2,56%",40.0,40.0,40.0,40.0
21/05/2014,"39,00","39,00","39,00","39,00","133,89K","-2,50%",39.0,39.0,39.0,39.0
22/05/2014,"39,00","39,00","39,00","39,00","368,81K","0,00%",39.0,39.0,39.0,39.0
23/05/2014,"40,00","40,00","40,00","40,00","15,45K","2,56%",40.0,40.0,40.0,40.0
26/05/2014,"40,00","40,00","40,00","40,00","8,34K","0,00%",40.0,40.0,40.0,40.0
27/05/2014,"39,00","39,00","39,00","39,00","129,44K","-2,50%",39.0,39.0,39.0,39.0
28/05/2014,"40,00","40,00","40,00","40,00","9,65K","2,56%",40.0,40.0,40.0,40.0
30/05/2014,"40,00","40,00","40,00","40,00","691,72K","0,00%",40.0,40.0,40.0,40.0
02/06/2014,"39,00","39,00","39,00","39,00","25,03K","-2,50%",39.0,39.0,39.0,39.0
03/06/2014,"40,00","40,00","40,00","40,00","17,50K","2,56%",40.0,40.0,40.0,40.0
04/06/2014,"40,00","40,00","40,00","40,00","38,57K","0,00%",40.0,40.0,40.0,40.0
