,lente,rapide,benef
0,1,1,0.0
1,2,1,5.423
2,3,1,15.594
3,4,1,22.347
4,5,1,26.095
5,6,1,22.831
6,7,1,14.562
7,8,1,12.925
8,9,1,11.126
9,10,1,13.975
10,11,1,19.754
11,12,1,12.804
12,13,1,9.73
13,14,1,7.799
14,15,1,2.557
15,16,1,5.067
16,17,1,5.822
17,18,1,5.618
18,19,1,9.391
19,20,1,5.659
20,21,1,10.93
21,22,1,10.993
22,23,1,10.211
23,24,1,12.138
24,25,1,10.596
25,26,1,11.735
26,27,1,14.526
27,28,1,16.95
28,29,1,18.901
29,30,1,17.948
30,31,1,17.731
31,32,1,18.772
32,33,1,20.936
33,34,1,20.769
34,35,1,22.495
35,36,1,26.028
36,37,1,26.028
37,38,1,24.141
38,39,1,-10.672
39,40,1,-10.16
40,41,1,-10.16
41,42,1,-10.369
42,43,1,-10.369
43,44,1,-10.639
44,45,1,-10.639
45,46,1,-10.639
46,47,1,-10.773
47,48,1,-10.773
48,49,1,-9.192
49,50,1,-8.85
50,1,2,4.712
51,2,2,0.0
52,3,2,9.805
53,4,2,12.903
54,5,2,9.226
55,6,2,7.482
56,7,2,12.652
57,8,2,4.788
58,9,2,6.348
59,10,2,15.593
60,11,2,12.863
61,12,2,8.038
62,13,2,10.313
63,14,2,9.86
64,15,2,12.449
65,16,2,12.359
66,17,2,13.921
67,18,2,13.121
68,19,2,17.884
69,20,2,21.301
70,21,2,14.892
71,22,2,14.721
72,23,2,12.009
73,24,2,10.206
74,25,2,10.335
75,26,2,13.742
76,27,2,16.79
77,28,2,12.903
78,29,2,14.05
79,30,2,17.243
80,31,2,17.081
81,32,2,19.215
82,33,2,19.215
83,34,2,18.866
84,35,2,22.58
85,36,2,22.58
86,37,2,22.211
87,38,2,21.817
88,39,2,-12.344
89,40,2,-12.344
90,41,2,-12.472
91,42,2,-11.009
92,43,2,-8.594
93,44,2,-10.416
94,45,2,-7.121
95,46,2,-7.271
96,47,2,-8.999
97,48,2,-8.999
98,49,2,-8.999
99,50,2,-9.931
100,1,3,-4.273
101,2,3,-0.447
102,3,3,0.0
103,4,3,8.101
104,5,3,6.457
105,6,3,10.398
106,7,3,9.834
107,8,3,7.515
108,9,3,13.315
109,10,3,16.767
110,11,3,13.482
111,12,3,10.134
112,13,3,13.353
113,14,3,12.641
114,15,3,10.124
115,16,3,13.503
116,17,3,14.087
117,18,3,12.076
118,19,3,19.09
119,20,3,18.383
120,21,3,13.046
121,22,3,13.046
122,23,3,17.452
123,24,3,13.56
124,25,3,18.605
125,26,3,18.605
126,27,3,21.642
127,28,3,22.286
128,29,3,21.008
129,30,3,21.4
130,31,3,21.4
131,32,3,21.294
132,33,3,23.25
133,34,3,23.25
134,35,3,23.25
135,36,3,23.085
136,37,3,23.085
137,38,3,24.809
138,39,3,24.976
139,40,3,-8.917
140,41,3,-8.917
141,42,3,-8.112
142,43,3,-5.829
143,44,3,-6.133
144,45,3,-6.133
145,46,3,-6.133
146,47,3,-6.133
147,48,3,-6.133
148,49,3,-5.035
149,50,3,-5.035
150,1,4,-9.342
151,2,4,-2.948
152,3,4,2.366
153,4,4,0.0
154,5,4,2.682
155,6,4,15.319
156,7,4,13.795
157,8,4,10.475
158,9,4,12.388
159,10,4,15.851
160,11,4,16.429
161,12,4,15.346
162,13,4,13.669
163,14,4,11.875
164,15,4,12.192
165,16,4,15.428
166,17,4,17.508
167,18,4,18.117
168,19,4,23.392
169,20,4,20.21
170,21,4,19.286
171,22,4,23.19
172,23,4,23.56
173,24,4,24.571
174,25,4,24.06
175,26,4,26.34
176,27,4,22.83
177,28,4,24.359
178,29,4,23.449
179,30,4,24.811
180,31,4,28.71
181,32,4,28.71
182,33,4,28.71
183,34,4,28.71
184,35,4,26.316
185,36,4,29.161
186,37,4,26.587
187,38,4,26.587
188,39,4,26.587
189,40,4,-7.216
190,41,4,-8.766
191,42,4,-8.766
192,43,4,-7.241
193,44,4,-7.241
194,45,4,-6.004
195,46,4,-6.004
196,47,4,-5.479
197,48,4,-5.479
198,49,4,-5.173
199,50,4,-5.258
200,1,5,-12.036
201,2,5,0.319
202,3,5,3.555
203,4,5,6.31
204,5,5,0.0
205,6,5,14.897
206,7,5,15.024
207,8,5,15.648
208,9,5,7.156
209,10,5,13.056
210,11,5,19.205
211,12,5,17.544
212,13,5,14.1
213,14,5,13.29
214,15,5,13.384
215,16,5,18.102
216,17,5,22.011
217,18,5,20.811
218,19,5,20.764
219,20,5,20.8
220,21,5,20.604
221,22,5,21.491
222,23,5,23.958
223,24,5,31.187
224,25,5,31.867
225,26,5,36.231
226,27,5,29.816
227,28,5,29.123
228,29,5,29.333
229,30,5,29.01
230,31,5,28.2
231,32,5,-7.431
232,33,5,-7.431
233,34,5,-7.431
234,35,5,-7.431
235,36,5,-7.431
236,37,5,-5.883
237,38,5,-5.654
238,39,5,-5.654
239,40,5,-5.654
240,41,5,-7.23
241,42,5,-7.848
242,43,5,-7.241
243,44,5,-7.241
244,45,5,-6.004
245,46,5,-6.004
246,47,5,-6.088
247,48,5,-6.088
248,49,5,-6.088
249,50,5,-6.088
250,1,6,-1.288
251,2,6,1.254
252,3,6,-0.445
253,4,6,-3.757
254,5,6,-4.343
255,6,6,0.0
256,7,6,8.55
257,8,6,9.118
258,9,6,5.633
259,10,6,13.916
260,11,6,24.118
261,12,6,12.16
262,13,6,14.751
263,14,6,15.976
264,15,6,14.459
265,16,6,16.696
266,17,6,20.354
267,18,6,19.166
268,19,6,16.227
269,20,6,15.923
270,21,6,18.739
271,22,6,21.807
272,23,6,22.721
273,24,6,25.312
274,25,6,29.408
275,26,6,29.408
276,27,6,27.234
277,28,6,28.831
278,29,6,29.501
279,30,6,29.501
280,31,6,29.501
281,32,6,-6.036
282,33,6,-6.036
283,34,6,-7.606
284,35,6,-7.606
285,36,6,-7.568
286,37,6,-7.568
287,38,6,-7.568
288,39,6,-7.568
289,40,6,-7.568
290,41,6,-7.343
291,42,6,-7.423
292,43,6,-9.268
293,44,6,-9.268
294,45,6,-8.67
295,46,6,-7.535
296,47,6,-7.535
297,48,6,-5.797
298,49,6,-5.797
299,50,6,-4.593
300,1,7,6.627
301,2,7,5.371
302,3,7,9.144
303,4,7,-3.683
304,5,7,-4.527
305,6,7,0.971
306,7,7,0.0
307,8,7,3.578
308,9,7,10.454
309,10,7,9.087
310,11,7,20.393
311,12,7,20.171
312,13,7,24.63
313,14,7,24.087
314,15,7,25.944
315,16,7,16.396
316,17,7,18.162
317,18,7,17.565
318,19,7,14.911
319,20,7,21.221
320,21,7,19.909
321,22,7,19.707
322,23,7,22.37
323,24,7,27.91
324,25,7,28.156
325,26,7,33.295
326,27,7,25.49
327,28,7,25.558
328,29,7,25.558
329,30,7,27.327
330,31,7,27.717
331,32,7,-8.213
332,33,7,-8.325
333,34,7,-8.325
334,35,7,-8.325
335,36,7,-8.404
336,37,7,-8.404
337,38,7,-8.404
338,39,7,-8.404
339,40,7,-7.798
340,41,7,-7.798
341,42,7,-7.573
342,43,7,-9.415
343,44,7,-9.268
344,45,7,-9.268
345,46,7,-8.059
346,47,7,-8.141
347,48,7,-6.565
348,49,7,-6.565
349,50,7,-4.38
350,1,8,8.172
351,2,8,15.747
352,3,8,11.497
353,4,8,8.881
354,5,8,4.235
355,6,8,10.259
356,7,8,15.749
357,8,8,0.0
358,9,8,9.36
359,10,8,17.069
360,11,8,21.674
361,12,8,21.357
362,13,8,23.405
363,14,8,28.607
364,15,8,28.333
365,16,8,28.48
366,17,8,24.007
367,18,8,21.942
368,19,8,20.702
369,20,8,19.831
370,21,8,16.365
371,22,8,20.061
372,23,8,21.929
373,24,8,19.758
374,25,8,-10.545
375,26,8,-8.851
376,27,8,22.395
377,28,8,22.31
378,29,8,21.505
379,30,8,24.473
380,31,8,24.855
381,32,8,-9.676
382,33,8,-9.676
383,34,8,-9.676
384,35,8,-9.676
385,36,8,-11.708
386,37,8,-9.953
387,38,8,-8.685
388,39,8,-10.505
389,40,8,-10.505
390,41,8,-10.505
391,42,8,-9.912
392,43,8,-9.912
393,44,8,-9.912
394,45,8,-9.912
395,46,8,-8.563
396,47,8,-8.422
397,48,8,-6.028
398,49,8,-6.028
399,50,8,-4.673
400,1,9,9.923
401,2,9,13.828
402,3,9,7.037
403,4,9,7.028
404,5,9,12.495
405,6,9,13.897
406,7,9,6.883
407,8,9,7.038
408,9,9,0.0
409,10,9,21.575
410,11,9,20.857
411,12,9,21.995
412,13,9,31.982
413,14,9,30.034
414,15,9,28.238
415,16,9,25.878
416,17,9,23.719
417,18,9,25.629
418,19,9,17.872
419,20,9,17.122
420,21,9,19.752
421,22,9,17.597
422,23,9,20.613
423,24,9,20.122
424,25,9,-11.768
425,26,9,-10.303
426,27,9,-10.303
427,28,9,22.041
428,29,9,19.463
429,30,9,19.304
430,31,9,-13.632
431,32,9,-13.632
432,33,9,-11.747
433,34,9,-13.732
434,35,9,-13.732
435,36,9,-13.732
436,37,9,-13.732
437,38,9,-13.732
438,39,9,-13.732
439,40,9,-10.505
440,41,9,-10.505
441,42,9,-10.505
442,43,9,-9.311
443,44,9,-8.711
444,45,9,-8.711
445,46,9,-8.711
446,47,9,-7.328
447,48,9,-6.509
448,49,9,-4.905
449,50,9,-4.905
450,1,10,5.741
451,2,10,2.932
452,3,10,3.872
453,4,10,5.208
454,5,10,6.624
455,6,10,5.615
456,7,10,8.223
457,8,10,-0.011
458,9,10,-3.478
459,10,10,0.0
460,11,10,23.617
461,12,10,22.5
462,13,10,36.601
463,14,10,32.697
464,15,10,34.26
465,16,10,27.016
466,17,10,20.267
467,18,10,17.148
468,19,10,13.813
469,20,10,11.88
470,21,10,9.296
471,22,10,14.738
472,23,10,17.386
473,24,10,16.538
474,25,10,17.028
475,26,10,-15.068
476,27,10,-15.068
477,28,10,-14.915
478,29,10,-14.915
479,30,10,-14.735
480,31,10,-15.833
481,32,10,-14.71
482,33,10,-14.71
483,34,10,-14.71
484,35,10,-14.71
485,36,10,-14.71
486,37,10,-12.582
487,38,10,-12.582
488,39,10,-12.582
489,40,10,-12.582
490,41,10,-11.351
491,42,10,-11.351
492,43,10,-9.164
493,44,10,-9.339
494,45,10,-9.42
495,46,10,-9.42
496,47,10,-9.42
497,48,10,-7.506
498,49,10,-5.088
499,50,10,-5.088
500,1,11,0.638
501,2,11,5.422
502,3,11,3.763
503,4,11,4.685
504,5,11,-0.423
505,6,11,-3.066
506,7,11,-1.941
507,8,11,-3.795
508,9,11,-2.905
509,10,11,-5.749
510,11,11,0.0
511,12,11,17.413
512,13,11,32.374
513,14,11,26.801
514,15,11,24.655
515,16,11,21.317
516,17,11,21.571
517,18,11,11.681
518,19,11,16.523
519,20,11,14.342
520,21,11,10.036
521,22,11,8.677
522,23,11,14.399
523,24,11,16.015
524,25,11,16.432
525,26,11,19.467
526,27,11,-13.788
527,28,11,-14.04
528,29,11,-14.04
529,30,11,-12.62
530,31,11,-14.303
531,32,11,-14.71
532,33,11,-14.71
533,34,11,-14.71
534,35,11,-13.437
535,36,11,-13.437
536,37,11,-13.437
537,38,11,-11.277
538,39,11,-9.651
539,40,11,-9.651
540,41,11,-10.72
541,42,11,-10.72
542,43,11,-10.72
543,44,11,-10.575
544,45,11,-10.948
545,46,11,-7.539
546,47,11,-7.539
547,48,11,-7.539
548,49,11,-5.53
549,50,11,-5.53
550,1,12,6.838
551,2,12,10.13
552,3,12,6.917
553,4,12,2.69
554,5,12,0.792
555,6,12,4.445
556,7,12,0.188
557,8,12,-1.301
558,9,12,-3.811
559,10,12,-5.059
560,11,12,-1.142
