,lente,rapide,benef
0,1,1,0.0
1,2,1,10.609
2,3,1,0.333
3,4,1,1.664
4,5,1,8.839
5,6,1,4.878
6,7,1,6.661
7,8,1,5.581
8,9,1,-0.705
9,10,1,-1.908
10,11,1,-4.567
11,12,1,-2.697
12,13,1,-3.175
13,14,1,-2.071
14,15,1,-0.473
15,16,1,1.948
16,17,1,1.197
17,18,1,-1.595
18,19,1,-10.997
19,20,1,-11.005
20,21,1,-8.471
21,22,1,-7.026
22,23,1,-6.586
23,24,1,-7.267
24,25,1,-6.429
25,26,1,-4.092
26,27,1,-3.93
27,28,1,-2.58
28,29,1,-4.294
29,30,1,-4.763
30,31,1,-4.507
31,32,1,-3.53
32,33,1,-4.655
33,34,1,-4.991
34,35,1,-4.001
35,36,1,-4.942
36,37,1,-5.733
37,38,1,-5.733
38,39,1,-4.62
39,40,1,-4.751
40,41,1,-4.751
41,42,1,-4.751
42,43,1,-4.751
43,44,1,-4.751
44,45,1,-4.779
45,46,1,-4.779
46,47,1,-4.779
47,48,1,-4.029
48,49,1,-4.029
49,50,1,-4.029
50,1,2,-2.431
51,2,2,0.0
52,3,2,9.335
53,4,2,9.895
54,5,2,10.349
55,6,2,6.583
56,7,2,4.19
57,8,2,-4.207
58,9,2,-4.151
59,10,2,-3.267
60,11,2,-2.531
61,12,2,2.188
62,13,2,2.235
63,14,2,0.33
64,15,2,-1.373
65,16,2,-0.046
66,17,2,-11.867
67,18,2,-13.288
68,19,2,-8.828
69,20,2,-9.352
70,21,2,-11.661
71,22,2,-11.242
72,23,2,-8.823
73,24,2,-8.805
74,25,2,-6.278
75,26,2,-5.53
76,27,2,-5.782
77,28,2,-5.356
78,29,2,-5.356
79,30,2,-5.7
80,31,2,-5.446
81,32,2,-4.111
82,33,2,-4.111
83,34,2,-5.307
84,35,2,-5.069
85,36,2,-4.787
86,37,2,-4.337
87,38,2,-4.673
88,39,2,-4.673
89,40,2,-4.353
90,41,2,-4.934
91,42,2,-4.094
92,43,2,-4.094
93,44,2,-4.122
94,45,2,-3.704
95,46,2,-3.704
96,47,2,-4.596
97,48,2,-4.517
98,49,2,-4.517
99,50,2,-4.517
100,1,3,7.599
101,2,3,-0.688
102,3,3,0.0
103,4,3,4.325
104,5,3,-0.183
105,6,3,3.4
106,7,3,0.184
107,8,3,-0.804
108,9,3,-5.821
109,10,3,-2.275
110,11,3,1.111
111,12,3,1.604
112,13,3,-0.878
113,14,3,2.7
114,15,3,-9.897
115,16,3,-12.149
116,17,3,-13.123
117,18,3,-12.127
118,19,3,-12.159
119,20,3,-10.085
120,21,3,-9.755
121,22,3,-8.619
122,23,3,-2.607
123,24,3,-2.989
124,25,3,-2.353
125,26,3,-1.521
126,27,3,-0.368
127,28,3,-0.992
128,29,3,-0.992
129,30,3,-1.434
130,31,3,-0.296
131,32,3,0.275
132,33,3,0.137
133,34,3,0.137
134,35,3,1.484
135,36,3,1.484
136,37,3,1.484
137,38,3,1.591
138,39,3,-2.371
139,40,3,-2.371
140,41,3,-2.939
141,42,3,-2.917
142,43,3,-3.432
143,44,3,-4.235
144,45,3,-5.251
145,46,3,-4.974
146,47,3,-4.974
147,48,3,-9.684
148,49,3,-9.684
149,50,3,-9.684
150,1,4,6.189
151,2,4,-0.14
152,3,4,5.993
153,4,4,0.0
154,5,4,6.219
155,6,4,7.488
156,7,4,5.112
157,8,4,0.992
158,9,4,-0.02
159,10,4,-0.85
160,11,4,-0.061
161,12,4,-0.793
162,13,4,0.319
163,14,4,5.177
164,15,4,-7.007
165,16,4,-7.679
166,17,4,-6.764
167,18,4,-7.256
168,19,4,-6.477
169,20,4,-3.043
170,21,4,-2.737
171,22,4,-4.74
172,23,4,-1.807
173,24,4,0.247
174,25,4,0.247
175,26,4,-0.125
176,27,4,0.759
177,28,4,-0.353
178,29,4,0.948
179,30,4,0.489
180,31,4,0.841
181,32,4,0.702
182,33,4,0.702
183,34,4,0.054
184,35,4,0.53
185,36,4,1.943
186,37,4,2.051
187,38,4,2.208
188,39,4,1.326
189,40,4,1.326
190,41,4,1.601
191,42,4,1.601
192,43,4,1.601
193,44,4,0.43
194,45,4,-4.694
195,46,4,-5.221
196,47,4,-5.264
197,48,4,-5.264
198,49,4,-6.052
199,50,4,-6.054
200,1,5,-1.499
201,2,5,-1.786
202,3,5,8.577
203,4,5,3.499
204,5,5,0.0
205,6,5,-0.093
206,7,5,-0.249
207,8,5,-2.077
208,9,5,1.734
209,10,5,0.709
210,11,5,-0.806
211,12,5,5.634
212,13,5,7.921
213,14,5,6.837
214,15,5,5.278
215,16,5,-7.053
216,17,5,-7.532
217,18,5,-8.572
218,19,5,-3.598
219,20,5,-5.308
220,21,5,-4.097
221,22,5,-6.076
222,23,5,-4.847
223,24,5,-2.684
224,25,5,-1.151
225,26,5,-1.499
226,27,5,-1.437
227,28,5,-0.021
228,29,5,-0.004
229,30,5,-0.004
230,31,5,0.237
231,32,5,0.099
232,33,5,-0.085
233,34,5,-0.085
234,35,5,-1.357
235,36,5,-0.663
236,37,5,0.717
237,38,5,0.717
238,39,5,0.045
239,40,5,0.055
240,41,5,0.053
241,42,5,-5.052
242,43,5,-5.052
243,44,5,-5.052
244,45,5,-5.052
245,46,5,-5.052
246,47,5,-5.052
247,48,5,-5.052
248,49,5,-5.052
249,50,5,-6.276
250,1,6,3.337
251,2,6,1.685
252,3,6,3.095
253,4,6,0.61
254,5,6,10.968
255,6,6,0.0
256,7,6,-2.987
257,8,6,-1.395
258,9,6,2.132
259,10,6,-0.635
260,11,6,6.325
261,12,6,6.395
262,13,6,7.351
263,14,6,6.954
264,15,6,7.003
265,16,6,5.743
266,17,6,-6.282
267,18,6,-4.614
268,19,6,-3.735
269,20,6,-2.359
270,21,6,-2.795
271,22,6,-4.698
272,23,6,-4.936
273,24,6,-3.958
274,25,6,-1.807
275,26,6,-1.122
276,27,6,-1.976
277,28,6,-0.895
278,29,6,-0.562
279,30,6,-0.562
280,31,6,-0.386
281,32,6,-0.386
282,33,6,-0.253
283,34,6,-1.619
284,35,6,0.021
285,36,6,0.779
286,37,6,0.001
287,38,6,0.141
288,39,6,0.141
289,40,6,0.141
290,41,6,-4.089
291,42,6,-4.089
292,43,6,-4.089
293,44,6,-4.155
294,45,6,-4.155
295,46,6,-4.215
296,47,6,-4.215
297,48,6,-4.215
298,49,6,-4.215
299,50,6,-4.205
300,1,7,1.61
301,2,7,4.02
302,3,7,11.406
303,4,7,5.759
304,5,7,10.787
305,6,7,16.348
306,7,7,0.0
307,8,7,3.901
308,9,7,1.902
309,10,7,7.175
310,11,7,8.643
311,12,7,8.987
312,13,7,8.2
313,14,7,8.686
314,15,7,9.405
315,16,7,8.711
316,17,7,-4.591
317,18,7,-5.09
318,19,7,-3.414
319,20,7,-1.688
320,21,7,-3.648
321,22,7,-4.78
322,23,7,-5.033
323,24,7,-3.6
324,25,7,-1.544
325,26,7,-1.544
326,27,7,-0.678
327,28,7,0.212
328,29,7,1.104
329,30,7,1.104
330,31,7,1.557
331,32,7,3.154
332,33,7,2.653
333,34,7,1.549
334,35,7,1.422
335,36,7,0.918
336,37,7,0.139
337,38,7,0.405
338,39,7,0.335
339,40,7,-4.157
340,41,7,-4.157
341,42,7,-4.157
342,43,7,-4.157
343,44,7,-4.217
344,45,7,-4.215
345,46,7,-4.215
346,47,7,-4.215
347,48,7,-4.215
348,49,7,-4.215
349,50,7,-4.215
350,1,8,2.65
351,2,8,11.221
352,3,8,12.515
353,4,8,10.074
354,5,8,13.869
355,6,8,12.746
356,7,8,7.42
357,8,8,0.0
358,9,8,0.917
359,10,8,10.392
360,11,8,10.347
361,12,8,10.531
362,13,8,8.632
363,14,8,8.693
364,15,8,7.52
365,16,8,7.926
366,17,8,12.053
367,18,8,-5.564
368,19,8,-5.066
369,20,8,-5.268
370,21,8,-6.352
371,22,8,-6.739
372,23,8,-5.201
373,24,8,-5.972
374,25,8,-3.269
375,26,8,-2.745
376,27,8,-2.733
377,28,8,-2.733
378,29,8,-0.73
379,30,8,0.986
380,31,8,2.079
381,32,8,2.128
382,33,8,3.119
383,34,8,2.745
384,35,8,2.745
385,36,8,2.554
386,37,8,-1.258
387,38,8,-2.454
388,39,8,-4.111
389,40,8,-4.111
390,41,8,-4.111
391,42,8,-2.683
392,43,8,-2.73
393,44,8,-2.73
394,45,8,-2.73
395,46,8,-2.881
396,47,8,-2.881
397,48,8,-3.251
398,49,8,-3.251
399,50,8,-3.251
400,1,9,9.162
401,2,9,11.156
402,3,9,18.509
403,4,9,11.188
404,5,9,9.173
405,6,9,8.852
406,7,9,9.166
407,8,9,9.724
408,9,9,0.0
409,10,9,12.28
410,11,9,9.604
411,12,9,8.483
412,13,9,10.723
413,14,9,12.078
414,15,9,8.96
415,16,9,7.144
416,17,9,6.849
417,18,9,5.971
418,19,9,-4.702
419,20,9,-5.488
420,21,9,-5.935
