"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/05/2023","4.900","4.900","4.900","4.900","0,63K","-3,92%"
"16/05/2023","5.100","5.100","5.100","5.100","0,63K","0,00%"
"15/05/2023","5.100","5.100","5.100","5.100","0,36K","-0,10%"
"12/05/2023","5.105","5.105","5.105","5.105","0,63K","2,00%"
"11/05/2023","5.005","5.005","5.005","5.005","0,28K","0,00%"
"10/05/2023","5.005","5.005","5.005","5.005","1,33K","-5,66%"
"09/05/2023","5.305","5.305","5.305","5.305","0,28K","0,00%"
"08/05/2023","5.305","5.305","5.305","5.305","0,96K","0,19%"
"05/05/2023","5.295","5.295","5.295","5.295","0,03K","5,90%"
"04/05/2023","5.000","5.000","5.000","5.000","0,22K","0,00%"
"03/05/2023","5.000","5.000","5.000","5.000","0,18K","-0,10%"
"02/05/2023","5.005","5.005","5.005","5.005","0,30K","0,10%"
"28/04/2023","5.000","5.000","5.000","5.000","0,08K","0,00%"
"27/04/2023","5.000","5.000","5.000","5.000","0,12K","-0,99%"
"26/04/2023","5.050","5.050","5.050","5.050","0,70K","1,10%"
"25/04/2023","4.995","4.995","4.995","4.995","0,32K","6,16%"
"24/04/2023","4.705","4.705","4.705","4.705","0,41K","0,00%"
"20/04/2023","4.705","4.705","4.705","4.705","0,22K","-1,98%"
"19/04/2023","4.800","4.800","4.800","4.800","0,15K","-3,90%"
"17/04/2023","4.995","4.995","4.995","4.995","0,12K","-0,10%"
"14/04/2023","5.000","5.000","5.000","5.000","0,46K","5,26%"
"13/04/2023","4.750","4.750","4.750","4.750","0,33K","-4,90%"
"12/04/2023","4.995","4.995","4.995","4.995","0,67K","4,06%"
"11/04/2023","4.800","4.800","4.800","4.800","0,11K","-4,00%"
"07/04/2023","5.000","5.000","5.000","5.000","0,59K","0,00%"
"06/04/2023","5.000","5.000","5.000","5.000","0,42K","0,00%"
"05/04/2023","5.000","5.000","5.000","5.000","0,12K","0,00%"
"04/04/2023","5.000","5.000","5.000","5.000","4,36K","0,20%"
"03/04/2023","4.990","4.990","4.990","4.990","0,71K","1,84%"
"31/03/2023","4.900","4.900","4.900","4.900","0,02K","-1,90%"
"30/03/2023","4.995","4.995","4.995","4.995","5,14K","-0,10%"
"29/03/2023","5.000","5.000","5.000","5.000","0,84K","0,10%"
"28/03/2023","4.995","4.995","4.995","4.995","0,85K","0,00%"
"27/03/2023","4.995","4.995","4.995","4.995","0,16K","-0,10%"
"24/03/2023","5.000","5.000","5.000","5.000","0,53K","0,81%"
"23/03/2023","4.960","4.960","4.960","4.960","0,47K","-0,80%"
"22/03/2023","5.000","5.000","5.000","5.000","2,24K","0,00%"
"21/03/2023","5.000","5.000","5.000","5.000","2,24K","0,00%"
"20/03/2023","5.000","5.000","5.000","5.000","4,87K","0,81%"
"17/03/2023","4.960","4.960","4.960","4.960","0,32K","3,23%"
"16/03/2023","4.805","4.805","4.805","4.805","0,21K","-3,13%"
"15/03/2023","4.960","4.960","4.960","4.960","1,25K","0,20%"
"14/03/2023","4.950","4.950","4.950","4.950","0,03K","3,13%"
"13/03/2023","4.800","4.800","4.800","4.800","0,41K","-1,13%"
"10/03/2023","4.855","4.855","4.855","4.855","0,46K","-0,92%"
"09/03/2023","4.900","4.900","4.900","4.900","1,82K","0,00%"
"08/03/2023","4.900","4.900","4.900","4.900","0,22K","0,00%"
"07/03/2023","4.900","4.900","4.900","4.900","5,69K","1,03%"
"06/03/2023","4.850","4.850","4.850","4.850","0,43K","1,04%"
"03/03/2023","4.800","4.800","4.800","4.800","2,67K","1,05%"
"02/03/2023","4.750","4.750","4.750","4.750","10,23K","-4,62%"
"28/02/2023","4.980","4.980","4.980","4.980","0,04K","-0,20%"
"27/02/2023","4.990","4.990","4.990","4.990","0,10K","-0,20%"
"24/02/2023","5.000","5.000","5.000","5.000","0,26K","0,00%"
"23/02/2023","5.000","5.000","5.000","5.000","0,01K","0,00%"
