"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"19/05/2023","545,94","545,81","545,94","542,89","2,61M","-0,97%"
"18/05/2023","551,27","553,94","554,06","547,98","2,59M","-0,48%"
"17/05/2023","553,94","551,25","553,94","551,25","693,11K","0,49%"
"16/05/2023","551,25","555,22","555,22","551,25","1,17M","-0,72%"
"15/05/2023","555,22","555,22","555,22","555,22","","0,00%"
"12/05/2023","555,22","547,77","555,22","547,77","2,44M","1,36%"
"11/05/2023","547,77","545,98","547,77","545,98","1,74M","1,34%"
"10/05/2023","540,52","535,56","540,52","535,56","7,44M","0,93%"
"09/05/2023","535,56","527,89","535,56","527,89","12,65M","1,12%"
"08/05/2023","529,62","527,76","529,62","523,55","3,45M","0,35%"
"05/05/2023","527,76","515,46","527,76","515,09","4,51M","2,39%"
"04/05/2023","515,46","511,49","515,71","511,37","6,88M","0,78%"
"03/05/2023","511,49","507,52","511,49","507,52","1,09M","0,78%"
"02/05/2023","507,52","502,24","507,52","502,24","2,38M","1,05%"
"28/04/2023","502,24","503,11","503,11","502,24","2,35M","-0,17%"
"27/04/2023","503,11","502,36","503,48","502,36","1,57M","0,15%"
"26/04/2023","502,36","502,58","503,08","501,91","1,39M","-0,12%"
"25/04/2023","502,95","502,95","502,95","502,95","","0,00%"
"20/04/2023","502,95","504,07","504,07","499,48","1,68M","-1,65%"
"19/04/2023","511,37","510,87","511,37","510,87","570,38K","0,10%"
"18/04/2023","510,87","510,25","510,87","510,25","440,89K","0,12%"
"17/04/2023","510,25","510,25","510,25","510,25","","0,00%"
"14/04/2023","510,25","510,25","510,25","510,25","","0,00%"
"13/04/2023","510,25","510,25","510,25","510,25","","0,00%"
"12/04/2023","510,25","510,25","510,25","510,25","","0,00%"
"11/04/2023","510,25","510,25","510,25","510,25","","0,00%"
"06/04/2023","510,25","511,12","511,12","510,00","1,90M","-0,17%"
"05/04/2023","511,12","510,50","511,12","510,50","1,17M","0,12%"
"04/04/2023","510,50","509,22","511,86","509,22","2,68M","0,25%"
"03/04/2023","509,22","510,83","510,83","509,22","1,58M","-0,32%"
"31/03/2023","510,83","510,83","510,83","510,83","","0,00%"
"30/03/2023","510,83","510,83","510,83","510,83","","0,00%"
"29/03/2023","510,83","510,83","510,83","510,83","","0,00%"
"28/03/2023","510,83","510,83","510,83","510,83","","0,00%"
"27/03/2023","510,83","521,34","521,34","510,83","842,45K","-2,02%"
"24/03/2023","521,34","521,34","521,34","521,34","","0,00%"
"23/03/2023","521,34","521,34","521,34","521,34","","0,00%"
"22/03/2023","521,34","521,34","521,34","521,34","","0,00%"
"21/03/2023","521,34","521,34","521,34","521,34","","0,00%"
"20/03/2023","521,34","521,34","521,34","521,34","","0,00%"
"17/03/2023","521,34","521,34","521,34","521,34","","0,00%"
"16/03/2023","521,34","521,34","521,34","521,34","","0,00%"
"15/03/2023","521,34","521,34","521,34","521,34","","0,00%"
"14/03/2023","521,34","521,34","521,34","521,34","","0,00%"
"13/03/2023","521,34","521,34","521,34","521,34","","0,00%"
"10/03/2023","521,34","524,17","524,17","518,62","1,75M","-0,54%"
"09/03/2023","524,17","534,90","534,90","524,17","1,51M","-2,01%"
"08/03/2023","534,90","539,78","539,78","534,90","665,97K","-0,90%"
"07/03/2023","539,78","542,03","542,03","539,78","401,03K","-0,42%"
"06/03/2023","542,03","542,03","542,03","542,03","","0,00%"
