"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"19/05/2023","1.878,18","1.880,84","1.880,84","1.877,31","219,90M","-0,14%"
"18/05/2023","1.880,84","1.883,30","1.883,49","1.879,78","219,41M","-1,02%"
"17/05/2023","1.900,23","1.896,41","1.904,02","1.896,41","581,75M","0,17%"
"16/05/2023","1.896,97","1.886,23","1.898,58","1.886,23","403,26M","0,58%"
"15/05/2023","1.885,98","1.882,51","1.887,63","1.882,51","509,96M","0,18%"
"12/05/2023","1.882,51","1.877,34","1.882,59","1.877,04","1,27B","0,28%"
"11/05/2023","1.877,34","1.876,00","1.880,99","1.875,27","383,66M","0,06%"
"10/05/2023","1.876,25","1.889,09","1.895,06","1.871,56","447,83M","-0,68%"
"09/05/2023","1.889,09","1.885,57","1.891,12","1.885,57","447,14M","0,18%"
"08/05/2023","1.885,70","1.884,85","1.887,36","1.882,82","414,62M","0,05%"
"05/05/2023","1.884,85","1.880,58","1.884,97","1.876,71","368,41M","0,23%"
"04/05/2023","1.880,58","1.880,02","1.883,73","1.880,02","651,57M","0,03%"
"03/05/2023","1.880,02","1.886,04","1.886,14","1.877,32","568,48M","-0,32%"
"02/05/2023","1.886,04","1.891,61","1.891,61","1.879,95","251,90M","-0,25%"
"28/04/2023","1.890,85","1.888,54","1.893,05","1.884,27","335,48M","0,12%"
"27/04/2023","1.888,54","1.885,88","1.892,90","1.883,78","2,21B","0,39%"
"26/04/2023","1.881,24","1.861,08","1.881,71","1.861,08","1,28B","0,89%"
"25/04/2023","1.864,70","1.850,95","1.864,70","1.850,95","448,15M","0,85%"
"20/04/2023","1.848,93","1.841,52","1.849,25","1.836,11","517,49M","0,45%"
"19/04/2023","1.840,70","1.835,28","1.840,70","1.835,28","167,35M","0,29%"
"18/04/2023","1.835,39","1.832,19","1.835,39","1.828,75","878,96M","0,17%"
"17/04/2023","1.832,19","1.852,25","1.854,59","1.831,35","152,00M","-1,48%"
"14/04/2023","1.859,73","1.858,88","1.861,52","1.858,64","190,15M","0,05%"
"13/04/2023","1.858,88","1.856,86","1.860,14","1.856,86","224,73M","0,11%"
"12/04/2023","1.856,86","1.856,74","1.857,29","1.856,01","209,19M","0,01%"
"11/04/2023","1.856,74","1.890,64","1.891,20","1.856,19","1,65B","-1,79%"
"06/04/2023","1.890,64","1.891,53","1.891,97","1.890,52","215,29M","-0,05%"
"05/04/2023","1.891,53","1.925,09","1.925,23","1.890,98","145,47M","-1,84%"
"04/04/2023","1.926,93","1.930,56","1.930,83","1.925,31","169,27M","-0,26%"
"03/04/2023","1.931,92","1.933,29","1.934,21","1.931,78","197,96M","-1,31%"
"31/03/2023","1.957,50","1.945,18","1.959,33","1.943,98","445,19M","0,63%"
"30/03/2023","1.945,18","1.914,45","1.945,43","1.912,63","657,66M","1,61%"
"29/03/2023","1.914,45","1.896,79","1.918,29","1.896,79","182,91M","0,26%"
"28/03/2023","1.909,58","1.919,06","1.924,55","1.909,58","149,47M","-0,49%"
"27/03/2023","1.919,06","1.953,29","1.953,29","1.918,65","67,41M","-1,97%"
"24/03/2023","1.957,63","1.962,83","1.963,61","1.938,30","93,25M","-0,26%"
"23/03/2023","1.962,83","1.962,34","1.963,29","1.961,78","85,67M","0,02%"
"22/03/2023","1.962,34","1.960,71","1.962,74","1.960,71","94,22M","0,08%"
"21/03/2023","1.960,71","1.960,56","1.961,92","1.960,21","91,49M","0,01%"
"20/03/2023","1.960,56","1.960,78","1.964,69","1.958,84","72,80M","-0,05%"
"17/03/2023","1.961,55","1.960,85","1.961,86","1.960,50","84,62M","0,04%"
"16/03/2023","1.960,85","1.984,05","1.984,05","1.958,08","87,96M","-1,17%"
"15/03/2023","1.984,05","1.989,26","1.989,26","1.981,35","136,19M","-0,26%"
"14/03/2023","1.989,26","1.991,79","1.991,79","1.987,42","89,18M","-0,13%"
"13/03/2023","1.991,79","1.991,88","1.996,99","1.991,28","89,59M","0,00%"
"10/03/2023","1.991,88","1.992,74","1.993,33","1.990,71","220,06M","-0,04%"
"09/03/2023","1.992,74","1.989,70","1.992,87","1.984,31","271,53M","0,15%"
