"Nom","Symbole","Dernier","Var. %","Cap. bour.","Vol."
"LVMH","LVMH","880,30","0,89%","440,80B","126.843"
"Merck&Co","MRK","105,20","-0,19%","268,43B","812"
"L'Oréal","OREP","422,30","1,27%","225,98B","109.502"
"Hermès International","HRMS","1.996,80","0,66%","208,70B","23.623"
"Christian Dior","DIOR","833,50","0,73%","150,28B","2.375"
"TotalEnergies SE","TTEF","56,43","1,33%","137,58B","1.552.747"
"Sanofi","SASY","101,02","1,16%","126,18B","461.776"
"General Electric","GEC","95,80","-0,21%","105,09B","269"
"Caterpillar","CAT1","197,50","0,00%","102,68B","0"
"Airbus Group","AIR","129,14","0,26%","101,88B","286.603"
"Diageo","DGE","41,24","-0,34%","92,04B","876"
"Schneider Electric","SCHN","164,06","1,20%","91,71B","237.313"
"EssilorLuxottica","ESLX","184,58","-0,97%","82,23B","142.895"
"BNP Paribas","BNPP","60,11","0,79%","73,37B","1.549.290"
"Kering","PRTP","539,60","-0,95%","65,90B","70.108"
"AXA","AXAF","27,75","0,00%","65,57B","1.559.647"
"Vinci","SGEF","111,44","1,14%","62,60B","290.703"
"Safran","SAF","142,98","-0,15%","60,05B","167.907"
"Schlumberger","SLBP","41,90","2,16%","59,31B","1.140"
"Pernod Ricard","PERP","213,10","0,85%","54,58B","96.519"
"Dassault Systèmes","DAST","37,74","0,71%","49,63B","271.386"
"Stellantis NV","STLAM","15,53","2,55%","48,44B","1.221.731"
"Electricité de France","EDF","12,00","0,00%","48,00B","0"
"STMicroelectronics","STMPA","41,72","1,39%","37,77B","989.317"
"Danone","DANO","58,79","0,58%","37,58B","302.119"
"Crédit Agricole","CAGR","11,93","1,05%","36,11B","1.945.619"
"Engie","ENGIE","14,50","0,00%","35,10B","1.891.527"
"Orange","ORAN","11,20","-1,11%","29,72B","2.832.584"
"Thales","TCFP","139,55","-0,53%","29,31B","45.945"
"Saint-Gobain","SGOB","55,70","2,31%","28,48B","382.205"
"Capgemini","CAPP","163,60","1,14%","28,12B","69.248"
"Legrand","LEGD","88,30","1,68%","23,34B","73.950"
"Sartorius Stedim","STDM","244,30","0,41%","22,54B","6.603"
"Nokia Oyj","NOKIA","3,81","0,71%","21,21B","35.361"
"Michelin","MICP","28,13","0,79%","20,07B","264.693"
"Veolia","VIE","28,10","1,52%","19,72B","327.541"
"Société Générale","SOGN","23,36","1,70%","18,73B","1.145.513"
"Publicis","PUBP","72,00","0,70%","17,94B","136.638"
"Bolloré","BOLL","6,01","-0,33%","17,63B","176.896"
"Sodexo SA","EXHO","102,45","0,84%","14,96B","25.760"
"Edenred","EDEN","59,80","0,30%","14,89B","74.794"
"Aeroports Paris","ADP","144,20","0,77%","14,23B","10.078"
"Dassault Aviation","AM","170,90","-1,27%","14,08B","13.331"
"Carrefour","CARR","17,77","0,99%","12,98B","211.324"
"Amundi","AMUN","62,25","1,14%","12,61B","38.075"
"Biomérieux","BIOX","100,45","1,04%","11,85B","23.371"
"Eurofins Scientific SE","EUFIn","58,22","0,00%","11,6B","0"
"Eurofins Scientific SE","EUFI","60,18","0,00%","11,60B","68.085"
"Bouygues","BOUY","30,94","0,81%","11,51B","246.071"
"Worldline SA","WLN","40,49","-0,20%","11,41B","75.831"
