"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/05/2023","14.000","14.000","14.000","14.000","0,08K","0,04%"
"16/05/2023","13.995","13.995","13.995","13.995","0,55K","0,00%"
"15/05/2023","13.995","13.995","13.995","13.995","1,08K","0,72%"
"12/05/2023","13.895","13.895","13.895","13.895","0,18K","-0,04%"
"11/05/2023","13.900","13.900","13.900","13.900","0,28K","0,00%"
"10/05/2023","13.900","13.900","13.900","13.900","0,04K","0,00%"
"09/05/2023","13.900","13.900","13.900","13.900","0,77K","0,00%"
"08/05/2023","13.900","13.900","13.900","13.900","0,25K","-0,68%"
"05/05/2023","13.995","13.995","13.995","13.995","0,07K","0,68%"
"04/05/2023","13.900","13.900","13.900","13.900","0,10K","0,22%"
"03/05/2023","13.870","13.870","13.870","13.870","1,16K","-0,22%"
"02/05/2023","13.900","13.900","13.900","13.900","8,63K","0,00%"
"28/04/2023","13.900","13.900","13.900","13.900","0,02K","0,00%"
"27/04/2023","13.900","13.900","13.900","13.900","0,12K","0,00%"
"26/04/2023","13.900","13.900","13.900","13.900","0,17K","0,00%"
"25/04/2023","13.900","13.900","13.900","13.900","0,26K","-0,71%"
"24/04/2023","14.000","14.000","14.000","14.000","0,21K","0,00%"
"20/04/2023","14.000","14.000","14.000","14.000","4,77K","0,00%"
"19/04/2023","14.000","14.000","14.000","14.000","1,35K","-1,06%"
"17/04/2023","14.150","14.150","14.150","14.150","0,64K","1,76%"
"14/04/2023","13.905","13.905","13.905","13.905","5,05K","0,04%"
"13/04/2023","13.900","13.900","13.900","13.900","0,04K","0,00%"
"12/04/2023","13.900","13.900","13.900","13.900","1,12K","0,00%"
"11/04/2023","13.900","13.900","13.900","13.900","19,56K","0,72%"
"07/04/2023","13.800","13.800","13.800","13.800","3,70K","-1,36%"
"06/04/2023","13.990","13.990","13.990","13.990","11,61K","-1,13%"
"05/04/2023","14.150","14.150","14.150","14.150","1,63K","1,11%"
"04/04/2023","13.995","13.995","13.995","13.995","0,13K","1,41%"
"03/04/2023","13.800","13.800","13.800","13.800","0,34K","-0,43%"
"31/03/2023","13.860","13.860","13.860","13.860","0,26K","-0,93%"
"30/03/2023","13.990","13.990","13.990","13.990","0,75K","0,94%"
"29/03/2023","13.860","13.860","13.860","13.860","0,11K","0,07%"
"28/03/2023","13.850","13.850","13.850","13.850","2,72K","0,00%"
"27/03/2023","13.850","13.850","13.850","13.850","0,60K","0,00%"
"24/03/2023","13.850","13.850","13.850","13.850","1,22K","-1,07%"
"23/03/2023","14.000","14.000","14.000","14.000","0,15K","0,00%"
"22/03/2023","14.000","14.000","14.000","14.000","0,11K","1,08%"
"21/03/2023","13.850","13.850","13.850","13.850","2,65K","-0,36%"
"20/03/2023","13.900","13.900","13.900","13.900","0,28K","0,72%"
"17/03/2023","13.800","13.800","13.800","13.800","1,06K","-0,36%"
"16/03/2023","13.850","13.850","13.850","13.850","2,52K","-1,07%"
"15/03/2023","14.000","14.000","14.000","14.000","0,94K","0,72%"
"14/03/2023","13.900","13.900","13.900","13.900","0,50K","0,36%"
"13/03/2023","13.850","13.850","13.850","13.850","2,40K","-1,00%"
"10/03/2023","13.990","13.990","13.990","13.990","0,28K","0,00%"
"09/03/2023","13.990","13.990","13.990","13.990","0,48K","2,12%"
"08/03/2023","13.700","13.700","13.700","13.700","0,16K","-0,65%"
"07/03/2023","13.790","13.790","13.790","13.790","0,10K","-1,43%"
"06/03/2023","13.990","13.990","13.990","13.990","0,18K","-0,07%"
"03/03/2023","14.000","14.000","14.000","14.000","0,19K","0,00%"
"02/03/2023","14.000","14.000","14.000","14.000","14,93K","1,08%"
"01/03/2023","13.850","13.850","13.850","13.850","0,89K","0,00%"
"28/02/2023","13.850","13.850","13.850","13.850","3,14K","0,00%"
"27/02/2023","13.850","13.850","13.850","13.850","4,60K","0,36%"
"24/02/2023","13.800","13.800","13.800","13.800","0,37K","2,22%"
"23/02/2023","13.500","13.500","13.500","13.500","1,01K","0,00%"
"22/02/2023","13.500","13.500","13.500","13.500","7,78K","-1,82%"
"21/02/2023","13.750","13.750","13.750","13.750","2,49K","1,48%"
"20/02/2023","13.550","13.550","13.550","13.550","0,14K","0,74%"
"17/02/2023","13.450","13.450","13.450","13.450","5,48K","-3,06%"
"16/02/2023","13.875","13.875","13.875","13.875","12,01K","1,83%"
"15/02/2023","13.625","13.625","13.625","13.625","0,63K","4,81%"
"14/02/2023","13.000","13.000","13.000","13.000","6,00K","3,30%"
"13/02/2023","12.585","12.585","12.585","12.585","2,16K","7,47%"
"10/02/2023","11.710","11.710","11.710","11.710","0,34K","0,95%"
"09/02/2023","11.600","11.600","11.600","11.600","10,81K","-0,85%"
"08/02/2023","11.700","11.700","11.700","11.700","0,16K","-0,85%"
"07/02/2023","11.800","11.800","11.800","11.800","0,23K","-1,67%"
"06/02/2023","12.000","12.000","12.000","12.000","0,69K","-0,17%"
"03/02/2023","12.020","12.020","12.020","12.020","0,07K","-2,99%"
"02/02/2023","12.390","12.390","12.390","12.390","0,14K","0,81%"
"01/02/2023","12.290","12.290","12.290","12.290","8,63K","0,00%"
"31/01/2023","12.290","12.290","12.290","12.290","0,07K","-0,04%"
"30/01/2023","12.295","12.295","12.295","12.295","0,03K","2,46%"
"27/01/2023","12.000","12.000","12.000","12.000","0,24K","0,80%"
"26/01/2023","11.905","11.905","11.905","11.905","0,69K","-0,79%"
"25/01/2023","12.000","12.000","12.000","12.000","3,23K","1,27%"
"24/01/2023","11.850","11.850","11.850","11.850","4,04K","2,16%"
"23/01/2023","11.600","11.600","11.600","11.600","0,19K","-1,69%"
"20/01/2023","11.800","11.800","11.800","11.800","1,06K","0,00%"
"19/01/2023","11.800","11.800","11.800","11.800","0,15K","0,00%"
"18/01/2023","11.800","11.800","11.800","11.800","1,09K","0,85%"
"17/01/2023","11.700","11.700","11.700","11.700","0,12K","1,69%"
"16/01/2023","11.505","11.505","11.505","11.505","0,90K","0,04%"
"13/01/2023","11.500","11.500","11.500","11.500","0,36K","-0,86%"
"12/01/2023","11.600","11.600","11.600","11.600","1,02K","1,75%"
"11/01/2023","11.400","11.400","11.400","11.400","4,87K","-0,87%"
"10/01/2023","11.500","11.500","11.500","11.500","6,45K","0,97%"
