ADM0_FR,ADM0_EN,ADM0_PCODE,admin1,admin1Pcod,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80plus
Bénin (le),Benin,BJ,Alibori,BJ01,513124,516882,1030006,90701,83711,"71,062","60,277","44,790","39,489","35,093","25,576","20,042","11,993","9,375","7,420","4,174","3,363","2,511","1,562","1,985","93,931","84,993","74,817","58,943","44,216","34,779","28,755","24,075","20,249","15,205","11,191","9,080","5,366","4,508","2,934","1,885","1,955","184,632","168,704","145,879","119,220","89,006","74,268","63,848","49,651","40,291","27,198","20,566","16,500","9,540","7,871","5,445","3,447","3,940"
Bénin (le),Benin,BJ,Atacora,BJ02,462427,454822,917249,77263,71455,"63,594","49,352","37,464","31,610","32,494","23,691","21,271","14,488","11,141","9,309","5,512","5,597","3,318","2,273","2,595","80,450","75,424","69,244","51,464","37,554","27,101","23,562","19,581","17,563","13,671","10,968","9,437","5,415","5,661","3,224","2,269","2,234","157,713","146,879","132,838","100,816","75,018","58,711","56,056","43,272","38,834","28,159","22,109","18,746","10,927","11,258","6,542","4,542","4,829"
Bénin (le),Benin,BJ,Atlantique,BJ03,838183,822035,1660218,122067,104994,"112,587","88,224","73,671","69,912","65,921","56,245","40,912","32,982","19,967","18,739","8,987","9,084","4,620","4,427","4,844","128,048","108,090","111,113","92,815","82,209","62,843","51,184","48,237","38,445","33,556","20,709","18,771","8,676","7,736","3,534","2,809","3,260","250,115","213,084","223,700","181,039","155,880","132,755","117,105","104,482","79,357","66,538","40,676","37,510","17,663","16,820","8,154","7,236","8,104"
Bénin (le),Benin,BJ,Borgou,BJ04,713822,727950,1441772,125023,109616,"97,870","84,835","64,918","53,837","49,886","35,201","28,149","19,438","13,257","11,114","6,093","5,483","3,533","2,457","3,112","129,685","111,061","102,878","86,293","70,136","50,154","41,564","33,445","28,111","21,712","15,766","13,652","7,536","6,440","4,009","2,649","2,859","254,708","220,677","200,748","171,128","135,054","103,991","91,450","68,646","56,260","41,150","29,023","24,766","13,629","11,923","7,542","5,106","5,971"
Bénin (le),Benin,BJ,Collines,BJ05,429129,422787,851916,60366,58034,"63,468","50,137","35,659","31,155","30,718","25,951","20,037","15,019","9,923","9,198","5,015","6,145","2,954","2,779","2,571","64,008","60,355","67,687","58,085","38,985","26,752","21,756","20,109","17,285","13,884","9,368","8,016","4,866","5,079","2,532","2,067","1,953","124,374","118,389","131,155","108,222","74,644","57,907","52,474","46,060","37,322","28,903","19,291","17,214","9,881","11,224","5,486","4,846","4,524"
Bénin (le),Benin,BJ,Couffo,BJ06,468736,416247,884983,64813,70280,"70,037","54,796","35,675","34,663","32,422","29,751","22,652","16,555","11,112","7,538","5,769","4,895","2,674","1,942","3,162","67,101","70,426","71,197","60,690","34,831","24,079","17,717","18,054","14,356","11,541","8,148","5,370","4,291","3,284","1,851","1,308","2,003","131,914","140,706","141,234","115,486","70,506","58,742","50,139","47,805","37,008","28,096","19,260","12,908","10,060","8,179","4,525","3,250","5,165"
Bénin (le),Benin,BJ,Donga,BJ07,321023,323879,644902,47895,46321,"42,550","34,524","28,099","25,132","24,481","18,880","14,940","11,021","7,023","6,515","3,568","4,068","2,190","1,815","2,001","51,074","49,983","49,020","39,516","28,553","21,698","17,446","15,221","12,721","10,970","7,552","6,319","3,753","4,138","2,254","1,875","1,786","98,969","96,304","91,570","74,040","56,652","46,830","41,927","34,101","27,661","21,991","14,575","12,834","7,321","8,206","4,444","3,690","3,787"
Bénin (le),Benin,BJ,Littoral,BJ08,416683,389560,806243,50686,42675,"50,901","45,597","40,296","38,312","36,973","29,817","21,916","18,981","10,770","13,268","4,501","6,045","2,001","2,444","1,500","52,993","40,965","41,234","38,908","44,039","37,173","31,425","27,501","21,799","19,364","10,600","10,697","4,226","4,895","1,549","1,512",680,"103,679","83,640","92,135","84,505","84,335","75,485","68,398","57,318","43,715","38,345","21,370","23,965","8,727","10,940","3,550","3,956","2,180"
Bénin (le),Benin,BJ,Mono,BJ09,301667,288739,590406,40399,39237,"41,998","33,243","23,878","21,041","20,747","19,377","15,611","12,919","8,407","7,799","4,201","4,919","2,594","2,580","2,717","41,591","41,393","45,382","39,491","27,114","18,015","14,247","13,958","11,791","10,895","6,872","6,003","3,415","3,434","1,876","1,611","1,651","81,990","80,630","87,380","72,734","50,992","39,056","34,994","33,335","27,402","23,814","15,279","13,802","7,616","8,353","4,470","4,191","4,368"
Bénin (le),Benin,BJ,Oueme,BJ10,654454,625353,1279807,94013,80338,"86,403","68,926","57,222","54,507","50,155","42,006","31,181","26,601","16,560","18,164","7,589","9,271","3,626","4,468","3,424","99,619","83,546","85,057","71,063","59,473","47,100","38,689","35,211","27,586","24,635","15,858","16,029","7,506","7,278","2,530","2,425","1,748","193,632","163,884","171,460","139,989","116,695","101,607","88,844","77,217","58,767","51,236","32,418","34,193","15,095","16,549","6,156","6,893","5,172"
Bénin (le),Benin,BJ,Plateau,BJ11,380692,358296,738988,53826,50894,"52,479","38,783","31,599","30,767","28,945","24,434","18,028","14,329","8,928","9,403","4,509","6,101","2,634","2,635","2,398","56,186","52,869","54,244","42,226","31,132","24,845","20,339","18,447","15,243","12,825","8,407","7,463","4,267","4,574","2,025","1,738","1,466","110,012","103,763","106,723","81,009","62,731","55,612","49,284","42,881","33,271","27,154","17,335","16,866","8,776","10,675","4,659","4,373","3,864"
Bénin (le),Benin,BJ,Zou,BJ12,524760,486380,1011140,73934,69456,"75,704","57,081","41,962","38,279","37,745","33,500","24,801","19,704","13,358","11,947","7,330","7,451","4,453","3,743","4,312","76,013","70,220","77,219","61,492","41,667","30,504","26,680","24,554","19,983","16,728","11,376","9,687","6,145","5,500","3,331","2,660","2,621","149,947","139,676","152,923","118,573","83,629","68,783","64,425","58,054","44,784","36,432","24,734","21,634","13,475","12,951","7,784","6,403","6,933"
