ADM0_FR,ADM0_EN,ADM0_PCODE,ADM1_FR,ADM2_FR,ADM1_PCODE,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80plus
Bénin (le),Benin,BJ,Alibori,Banikoara,BJ01,BJ0101,146005,146773,292778,24968,24261,20283,17491,12774,11349,9642,7352,5321,3327,2637,2260,1241,1062,783,543,711,25941,24238,21995,17301,12779,10238,8002,6883,5213,4074,2821,2506,1429,1217,874,536,726,50909,48499,42278,34792,25553,21587,17644,14235,10534,7401,5458,4766,2670,2279,1657,1079,1437
Bénin (le),Benin,BJ,Alibori,Gogounou,BJ01,BJ0102,70128,69416,139544,12711,11342,9789,8540,5877,5263,4722,3437,2691,1626,1277,965,561,468,360,224,275,13085,11657,10175,7945,5728,4609,3839,3126,2680,1936,1459,1013,714,586,380,228,256,25796,22999,19964,16485,11605,9872,8561,6563,5371,3562,2736,1978,1275,1054,740,452,531
Bénin (le),Benin,BJ,Alibori,Kandi,BJ01,BJ0103,106256,106627,212883,18755,17304,14813,12200,9363,8273,7311,5203,4065,2579,1929,1664,870,752,534,295,346,19345,17856,15226,12041,9105,7250,6081,5062,4091,3210,2244,1907,1013,889,547,413,347,38100,35160,30039,24241,18468,15523,13392,10265,8156,5789,4173,3571,1883,1641,1081,708,693
Bénin (le),Benin,BJ,Alibori,Karimama,BJ01,BJ0104,38988,39797,78785,7035,6403,5220,4045,3365,2966,2818,2066,1715,986,819,529,356,252,199,104,110,7271,6372,5495,4305,3559,2501,2148,1807,1774,1244,992,852,481,452,258,187,99,14306,12775,10715,8350,6924,5467,4966,3873,3489,2230,1811,1381,837,704,457,291,209
Bénin (le),Benin,BJ,Alibori,Malanville,BJ01,BJ0105,99962,100281,200243,17418,15842,13720,11691,8930,7761,7161,5124,4348,2375,1837,1414,762,547,419,283,330,17879,15896,14079,11158,8644,6656,5580,4732,4466,3277,2522,1887,1181,1034,579,385,326,35297,31738,27799,22849,17574,14417,12741,9856,8814,5652,4359,3301,1943,1581,998,668,656
Bénin (le),Benin,BJ,Alibori,Segbana,BJ01,BJ0106,51785,53988,105773,9814,8559,7237,6310,4481,3877,3439,2394,1902,1100,876,588,384,282,216,113,213,10410,8974,7847,6193,4401,3525,3105,2465,2025,1464,1153,915,548,330,296,136,201,20224,17533,15084,12503,8882,7402,6544,4859,3927,2564,2029,1503,932,612,512,249,414
Bénin (le),Benin,BJ,Atacora,Boukombe,BJ02,BJ0201,49705,48193,97898,7971,7167,6191,4858,3519,3139,3570,2801,2789,2291,1523,1370,729,934,402,261,190,8396,7691,7396,5273,3593,2571,2244,1885,2032,1710,1413,1330,737,914,401,358,249,16367,14858,13587,10131,7112,5710,5814,4686,4821,4001,2936,2700,1466,1848,803,619,439
Bénin (le),Benin,BJ,Atacora,Kobli,BJ02,BJ0203,41109,39162,80271,7083,6758,5422,3778,3506,2738,2908,1927,2000,1298,1108,766,526,481,331,193,286,7526,7135,6228,4163,2995,2088,1828,1530,1425,1023,893,725,478,421,284,182,238,14609,13893,11650,7941,6501,4826,4736,3457,3425,2321,2001,1491,1004,902,615,375,524
Bénin (le),Benin,BJ,Atacora,Kerou,BJ02,BJ0202,59084,59885,118969,11295,9639,7793,6405,5063,4512,4106,2891,2245,1330,1067,791,609,432,345,215,346,11628,9920,8355,6455,5007,4046,3515,2880,2208,1567,1264,976,686,519,371,196,292,22923,19559,16148,12860,10070,8558,7621,5771,4453,2897,2331,1767,1295,951,716,411,638
Bénin (le),Benin,BJ,Atacora,Kouande,BJ02,BJ0204,66008,66434,132442,11469,10165,8700,7176,5614,4610,4679,3392,2780,1967,1411,1443,721,795,425,328,333,11778,10918,9961,7393,5485,4160,3595,2968,2594,2028,1458,1424,777,788,439,370,298,23247,21083,18661,14569,11099,8770,8274,6360,5374,3995,2869,2867,1498,1583,864,698,631
