admin0_name,admin0_pcode,number_of_named_languages,main_language,main_language_share,Aguna,Aja,Akan,Anii,Arabic,Ayizo Gbe,Baatonum,Bambara,Biali,Boko,Boo,Borgu Fulfulde,Bozo,Contimba,Defi Gbe,Dendi,Ditammari,Dyula,Ede Cabe,Ede Idaca,Ede Ije,English,Ewe,Fon,French,Gagamba,Gando,Gen,Gorgal Fulfulde,Gourmanchéma,Gun,Hausa,Ifè,Igbo,Kabiye,Kotafon Gbe,Kotokoli,Lekpa,Lingala,Maxi Gbe,Mbelime,Mioybe,Mobaa,Mokole,Mossi,Nateni,Northern Nago,Partago,Saxwe Gbe,Senufo,Seto Gbe,Songhay,Soninke,Southern Nago,Taneka,Tem,Tofin Gbe,Toli Gbe,Waama,Waci Gbe,Weme Gbe,Western Xwla Gbe,Wolof,Xwela Gbe,Yoabu,Yom,Yoruba,Zarma,Other,pop_total,pop_male,pop_female,literacy_all,literacy_male,literacy_female,language_data_yn,data_confidence,notes
#country+name,#country+code,#indicator+lang+num,#indicator+lang+main,#indicator+lang+main+pct,#indicator+lang+pct+iso639_3+agu,#indicator+lang+pct+iso639_3+ajg,#indicator+lang+pct+iso639_3+aka,#indicator+lang+pct+iso639_3+blo,#indicator+lang+pct+iso639_3+ara,#indicator+lang+pct+iso639_3+ayz,#indicator+lang+pct+iso639_3+bba,#indicator+lang+pct+iso639_3+bam,#indicator+lang+pct+iso639_3+beh,#indicator+lang+pct+iso639_3+bqc,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+fue,#indicator+lang+pct+iso639_3+bzx,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+gbh,#indicator+lang+pct+iso639_3+ddn,#indicator+lang+pct+iso639_3+tbz,#indicator+lang+pct+iso639_3+dyu,#indicator+lang+pct+iso639_3+cbj,#indicator+lang+pct+iso639_3+idd,#indicator+lang+pct+iso639_3+ijj,#indicator+lang+pct+iso639_3+eng,#indicator+lang+pct+iso639_3+ewe,#indicator+lang+pct+iso639_3+fon,#indicator+lang+pct+iso639_3+fra,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+gej,#indicator+lang+pct+iso639_3+fuh,#indicator+lang+pct+iso639_3+gux,#indicator+lang+pct+iso639_3+guw,#indicator+lang+pct+iso639_3+hau,#indicator+lang+pct+iso639_3+ife,#indicator+lang+pct+iso639_3+ibo,#indicator+lang+pct+iso639_3+kbp,#indicator+lang+pct+iso639_3+kqk,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+lin,#indicator+lang+pct+iso639_3+mxl,#indicator+lang+pct+iso639_3+mql,#indicator+lang+pct+iso639_3+soy,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+mkl,#indicator+lang+pct+iso639_3+mos,#indicator+lang+pct+iso639_3+ntm,#indicator+lang+pct+iso639_3+xkb,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+sxw,#indicator+lang+pct+iso639_3+sen,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+son,#indicator+lang+pct+iso639_3+snk,#indicator+lang+pct+iso639_3+nqg,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+kdh,#indicator+lang+pct+iso639_3+tfi,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+wwa,#indicator+lang+pct+iso639_3+wci,#indicator+lang+pct+iso639_3+wem,#indicator+lang+pct+iso639_3+xwl,#indicator+lang+pct+iso639_3+wol,#indicator+lang+pct+iso639_3+xwe,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+pil,#indicator+lang+pct+iso639_3+yor,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639 3_unknown,#population+total,#population+m+total,#population+f+total,#population+total+pct+literate+age12up,#population+m+pct+literate+age12up,#population+f+pct+literate+age12up,#meta+data+bool,#meta+confidence,#meta+text
Benin,BJ,53,Fon,0.202,0.001,0.081,0.000,0.003,0.000,0.036,0.087,0.000,0.019,0.000,0.008,0.084,0.000,0.001,0.003,0.033,0.019,0.000,0.005,0.015,0.012,0.001,0.001,0.202,0.009,0.001,0.001,0.015,0.001,0.006,0.063,0.005,0.011,0.001,0.004,0.013,0.001,0.013,0.000,0.025,0.001,0.001,0.000,0.003,0.000,0.004,0.000,0.001,0.024,0.000,0.002,0.002,0.000,0.052,0.000,0.003,0.011,0.023,0.009,0.005,0.022,0.009,0.000,0.006,0.000,0.017,0.015,0.005,0.006,"10,096,930","4,930,780","5,166,150",0.525,0.612,0.443,Yes,High,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
