
Indicator,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Average annual population growth rate - Total (%),2.6,2.6,2.7,2.7,2.7,2.8,2.8,2.9,2.9,2.9,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6
Average annual population growth rate - Urban (%),8.6,8.6,8.6,8.6,8.6,6.0,6.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,4.8,4.8,4.8,4.8,4.8,4.3,4.3,4.3,4.3,4.3,4.0,4.0,4.0,4.0,4.0,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.6,3.6,3.6,3.6,3.6,3.4,3.4,3.4
"Crude birth rate (per 1,000 population)",45.0,45.1,45.1,45.2,45.2,45.2,45.3,45.4,45.6,45.7,45.9,46.1,46.2,46.3,46.3,46.2,46.0,45.8,45.4,45.1,44.7,44.2,43.8,43.3,42.9,42.5,42.1,41.8,41.6,41.4,41.2,41.1,40.9,40.8,40.6,40.7,40.5,40.3,40.0,39.7,39.3,38.9,38.4,37.9,37.4,36.8,36.3,35.8
"Crude death rate (per 1,000 population)",19.3,19.0,18.6,18.2,17.8,17.4,17.1,16.7,16.4,16.1,15.8,15.6,15.3,15.1,14.9,14.7,14.6,14.4,14.2,14.1,14.0,13.9,13.8,13.7,13.7,13.7,13.7,13.7,13.8,13.9,14.0,14.0,14.0,14.0,13.9,13.2,12.8,12.5,12.2,11.9,11.7,11.4,11.1,10.9,10.6,10.4,10.1,9.8
International migrant stock at mid-year - 0-4 (thousands),,,,,,,,,,,,,,,,,,,,,16.6,,,,,21.1,,,,,12.0,,,,,16.9,,,,,26.3,,,,,59.4,,70.2
International migrant stock at mid-year - 10-14 (thousands),,,,,,,,,,,,,,,,,,,,,27.6,,,,,19.2,,,,,12.3,,,,,12.5,,,,,22.0,,,,,42.4,,36.9
International migrant stock at mid-year - 15-19 (thousands),,,,,,,,,,,,,,,,,,,,,26.4,,,,,22.4,,,,,15.3,,,,,17.0,,,,,20.8,,,,,40.7,,40.4
International migrant stock at mid-year - 20-24 (thousands),,,,,,,,,,,,,,,,,,,,,28.1,,,,,23.1,,,,,21.5,,,,,21.1,,,,,20.4,,,,,42.9,,43.4
International migrant stock at mid-year - 25-29 (thousands),,,,,,,,,,,,,,,,,,,,,30.2,,,,,25.1,,,,,24.9,,,,,24.0,,,,,23.4,,,,,47.5,,47.8
International migrant stock at mid-year - 30-34 (thousands),,,,,,,,,,,,,,,,,,,,,30.2,,,,,26.5,,,,,26.3,,,,,25.6,,,,,26.3,,,,,46.7,,48.3
