Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
"Congo, Rep.",COG,2012,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,40.8
"Congo, Rep.",COG,2005,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,51.5
"Congo, Rep.",COG,2012,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,46.8
"Congo, Rep.",COG,2005,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,54.6
"Congo, Rep.",COG,2012,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,60.7
"Congo, Rep.",COG,2005,Women who believe a husband is justified in beating his wife (any of five reasons) (%),SG.VAW.REAS.ZS,67.4
"Congo, Rep.",COG,2012,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,26.3
"Congo, Rep.",COG,2005,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,35
"Congo, Rep.",COG,2018,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,3.96
"Congo, Rep.",COG,2015,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,3.38
"Congo, Rep.",COG,2010,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,2.63
"Congo, Rep.",COG,2005,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.6
"Congo, Rep.",COG,2000,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,1.48
"Congo, Rep.",COG,2018,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,9.27
"Congo, Rep.",COG,2015,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,7.9
"Congo, Rep.",COG,2010,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,6.17
"Congo, Rep.",COG,2005,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,3.75
"Congo, Rep.",COG,2000,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,3.45
"Congo, Rep.",COG,2018,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,14.63
"Congo, Rep.",COG,2015,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,12.47
"Congo, Rep.",COG,2010,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,9.73
"Congo, Rep.",COG,2005,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,5.92
"Congo, Rep.",COG,2000,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,5.45
"Congo, Rep.",COG,2019,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,48.8
"Congo, Rep.",COG,2018,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,49.2
"Congo, Rep.",COG,2017,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,49.8
"Congo, Rep.",COG,2016,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,50.4
"Congo, Rep.",COG,2015,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,51.1
"Congo, Rep.",COG,2014,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,51.7
"Congo, Rep.",COG,2013,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,52.4
"Congo, Rep.",COG,2012,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,53.1
"Congo, Rep.",COG,2011,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,53.8
"Congo, Rep.",COG,2010,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,54.4
"Congo, Rep.",COG,2009,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,55.1
"Congo, Rep.",COG,2008,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,55.6
"Congo, Rep.",COG,2007,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,56.2
"Congo, Rep.",COG,2006,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,56.6
"Congo, Rep.",COG,2005,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,56.9
"Congo, Rep.",COG,2004,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,57.1
"Congo, Rep.",COG,2003,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,57.2
"Congo, Rep.",COG,2002,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,57.2
"Congo, Rep.",COG,2001,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,57.1
"Congo, Rep.",COG,2000,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,57.1
"Congo, Rep.",COG,2019,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,60.8
"Congo, Rep.",COG,2018,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,61.6
"Congo, Rep.",COG,2017,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,62.3
"Congo, Rep.",COG,2016,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,63
"Congo, Rep.",COG,2015,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,63.5
"Congo, Rep.",COG,2014,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,63.9
"Congo, Rep.",COG,2013,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,64.2
"Congo, Rep.",COG,2012,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,64.4
"Congo, Rep.",COG,2011,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,64.6
"Congo, Rep.",COG,2010,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,64.9
"Congo, Rep.",COG,2009,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,65.3
"Congo, Rep.",COG,2008,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,65.9
"Congo, Rep.",COG,2007,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,66.8
"Congo, Rep.",COG,2006,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,67.7
"Congo, Rep.",COG,2005,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,68.7
"Congo, Rep.",COG,2004,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,69.7
"Congo, Rep.",COG,2003,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,70.7
"Congo, Rep.",COG,2002,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,71.4
"Congo, Rep.",COG,2001,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,72
"Congo, Rep.",COG,2000,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,72.5
"Congo, Rep.",COG,2019,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,48.7
"Congo, Rep.",COG,2018,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,49
"Congo, Rep.",COG,2017,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,49.6
"Congo, Rep.",COG,2016,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,50.2
"Congo, Rep.",COG,2015,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,51
"Congo, Rep.",COG,2014,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,51.6
"Congo, Rep.",COG,2013,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,52.3
"Congo, Rep.",COG,2012,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,53
"Congo, Rep.",COG,2011,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,53.8
"Congo, Rep.",COG,2010,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,54.4
"Congo, Rep.",COG,2009,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,55.1
"Congo, Rep.",COG,2008,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,55.7
"Congo, Rep.",COG,2007,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,56.3
