GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
NTD_RAB2,Reported number of human rabies deaths,,PUBLISHED,Published,,2010,2010,,AFR,Africa,,COG,2010,2010,Congo,,No data,,,,,,
NTD_RAB2,Reported number of human rabies deaths,,PUBLISHED,Published,,2011,2011,,AFR,Africa,,COG,2011,2011,Congo,,No data,,,,,,
NTD_RAB2,Reported number of human rabies deaths,,PUBLISHED,Published,,2012,2012,,AFR,Africa,,COG,2012,2012,Congo,,No data,,,,,,
NTD_RAB2,Reported number of human rabies deaths,,PUBLISHED,Published,,2013,2013,,AFR,Africa,,COG,2013,2013,Congo,,No data,,,,,,
NTD_RAB2,Reported number of human rabies deaths,,PUBLISHED,Published,,2014,2014,,AFR,Africa,,COG,2014,2014,Congo,,No data,,,,,,
NTD_RAB2,Reported number of human rabies deaths,,PUBLISHED,Published,,2015,2015,,AFR,Africa,,COG,2015,2015,Congo,,No data,,,,,,
NTD_RAB2,Reported number of human rabies deaths,,PUBLISHED,Published,,2016,2016,,AFR,Africa,,COG,2016,2016,Congo,,No data,,,,,,
NTD_RAB2,Reported number of human rabies deaths,,PUBLISHED,Published,,2017,2017,,AFR,Africa,,COG,2017,2017,Congo,,No data,,,,,,
NTD_RAB2,Reported number of human rabies deaths,,PUBLISHED,Published,,2018,2018,,AFR,Africa,,COG,2018,2018,Congo,,No data,,,,,,
NTD_RAB2,Reported number of human rabies deaths,,PUBLISHED,Published,,2019,2019,,AFR,Africa,,COG,2019,2019,Congo,,No data,,,,,,
NTD_RAB2,Reported number of human rabies deaths,,PUBLISHED,Published,,2020,2020,,AFR,Africa,,COG,2020,2020,Congo,,No data,,,,,,
NTD_RAB2,Reported number of human rabies deaths,,PUBLISHED,Published,,2021,2021,,AFR,Africa,,COG,2021,2021,Congo,,No data,,,,,,
