Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
COG,2021,SH.DTH.IMRT,5676
COG,2020,SH.DTH.IMRT,5796
COG,2019,SH.DTH.IMRT,6286
COG,2018,SH.DTH.IMRT,6078
COG,2017,SH.DTH.IMRT,6228
COG,2016,SH.DTH.IMRT,6393
COG,2015,SH.DTH.IMRT,6595
COG,2014,SH.DTH.IMRT,6796
COG,2013,SH.DTH.IMRT,6997
COG,2012,SH.DTH.IMRT,7151
COG,2011,SH.DTH.IMRT,7233
COG,2010,SH.DTH.IMRT,7178
COG,2009,SH.DTH.IMRT,7095
COG,2008,SH.DTH.IMRT,7122
COG,2007,SH.DTH.IMRT,7195
COG,2006,SH.DTH.IMRT,7351
COG,2005,SH.DTH.IMRT,7560
COG,2004,SH.DTH.IMRT,7795
COG,2003,SH.DTH.IMRT,8053
COG,2002,SH.DTH.IMRT,8305
COG,2001,SH.DTH.IMRT,8269
COG,2000,SH.DTH.IMRT,8146
COG,1999,SH.DTH.IMRT,8090
COG,1998,SH.DTH.IMRT,7929
COG,1997,SH.DTH.IMRT,7666
COG,1996,SH.DTH.IMRT,7273
COG,1995,SH.DTH.IMRT,6882
COG,1994,SH.DTH.IMRT,6516
COG,1993,SH.DTH.IMRT,6175
COG,1992,SH.DTH.IMRT,5878
COG,1991,SH.DTH.IMRT,5617
COG,1990,SH.DTH.IMRT,5411
COG,1989,SH.DTH.IMRT,5256
COG,1988,SH.DTH.IMRT,5141
COG,1987,SH.DTH.IMRT,5062
COG,1986,SH.DTH.IMRT,5010
COG,1985,SH.DTH.IMRT,4993
COG,1984,SH.DTH.IMRT,5002
COG,1983,SH.DTH.IMRT,5025
COG,1982,SH.DTH.IMRT,5046
COG,1981,SH.DTH.IMRT,5076
COG,1980,SH.DTH.IMRT,5113
COG,1979,SH.DTH.IMRT,5146
COG,1978,SH.DTH.IMRT,5188
COG,1977,SH.DTH.IMRT,5225
COG,1976,SH.DTH.IMRT,5252
COG,1975,SH.DTH.IMRT,5247
COG,1974,SH.DTH.IMRT,5221
COG,1973,SH.DTH.IMRT,5192
