Variation %,Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.
"0,01%",25/01/2023,"484,95","484,89","486,84","480,54",
"0,53%",26/01/2023,"487,50","484,95","487,50","482,14",
"-0,39%",27/01/2023,"485,59","487,50","487,50","482,69",
"0,36%",30/01/2023,"487,35","485,59","487,35","483,63",
"0,05%",31/01/2023,"487,60","487,35","492,53","484,61",
"1,23%",01/02/2023,"493,60","487,60","495,26","487,60",
"0,10%",02/02/2023,"494,08","493,60","494,29","486,93",
"-0,62%",03/02/2023,"491,00","494,08","495,29","489,83",
"0,66%",06/02/2023,"494,22","491,00","494,22","490,49",
"0,00%",07/02/2023,"494,21","494,22","494,22","487,99",
"-0,05%",08/02/2023,"493,97","494,21","494,72","490,98",
"0,21%",09/02/2023,"495,01","493,97","498,77","489,84",
"-0,29%",10/02/2023,"493,57","495,01","497,84","492,17",
"0,40%",13/02/2023,"495,54","493,57","498,99","491,68",
"-0,26%",14/02/2023,"494,26","495,54","497,70","494,05",
"-0,42%",15/02/2023,"492,16","494,26","495,80","489,56",
"0,15%",16/02/2023,"492,90","492,16","493,48","490,00",
"0,00%",17/02/2023,"492,91","492,90","495,42","491,16",
"-0,11%",20/02/2023,"492,39","492,91","494,83","492,08",
"0,01%",21/02/2023,"492,42","492,39","493,10","491,21",
"0,10%",22/02/2023,"492,90","492,42","492,90","489,54",
"-0,09%",23/02/2023,"492,44","492,90","493,02","490,84",
"0,83%",24/02/2023,"496,53","492,44","496,56","492,10",
"0,45%",27/02/2023,"498,75","496,53","500,32","495,65",
"1,14%",28/02/2023,"504,44","498,75","504,46","494,58",
"-0,25%",01/03/2023,"503,20","504,44","505,51","495,18",
"-0,35%",02/03/2023,"501,43","503,20","504,02","497,76",
"-0,13%",03/03/2023,"500,76","501,43","501,50","498,44",
"0,08%",06/03/2023,"501,15","500,76","505,09","498,92",
"0,23%",07/03/2023,"502,29","501,15","503,96","499,12",
"-0,52%",08/03/2023,"499,66","502,29","502,61","498,13",
"0,12%",09/03/2023,"500,28","499,66","501,42","498,15",
"0,44%",10/03/2023,"502,48","500,28","502,48","498,29",
"0,23%",13/03/2023,"503,62","502,48","503,62","500,18",
"-1,01%",14/03/2023,"498,52","503,62","503,62","496,10",
"0,10%",15/03/2023,"499,00","498,52","499,00","494,64",
"-0,40%",16/03/2023,"497,01","499,00","499,00","490,95",
"-0,20%",17/03/2023,"496,03","497,01","497,01","489,74",
"-1,25%",20/03/2023,"489,84","496,03","496,07","486,28",
"-0,86%",21/03/2023,"485,61","489,84","489,84","481,51",
"0,27%",22/03/2023,"486,90","485,61","487,93","480,97",
