,📎,Rapide,Lente,Positive,Negative,Total,PositiveP,NegativeP,BeneficeP
0,❌,5,10,2,0,2,100,0,-1.054
1,❌,5,11,2,0,2,100,0,-2.221
2,❌,5,12,2,0,2,100,0,-2.46
3,❌,5,13,2,0,2,100,0,-2.325
4,❌,5,14,2,0,2,100,0,-2.155
5,❌,5,15,0,0,0,0,0,0.0
6,❌,5,16,0,0,0,0,0,0.0
7,❌,5,17,0,0,0,0,0,0.0
8,❌,5,18,0,0,0,0,0,0.0
9,❌,5,19,0,0,0,0,0,0.0
10,❌,6,10,2,0,2,100,0,0.022
11,❌,6,11,2,0,2,100,0,0.022
12,❌,6,12,3,0,3,100,0,-1.764
13,❌,6,13,1,0,1,100,0,-0.993
14,❌,6,14,1,0,1,100,0,-0.856
15,❌,6,15,0,0,0,0,0,0.0
16,❌,6,16,0,0,0,0,0,0.0
17,❌,6,17,0,0,0,0,0,0.0
18,❌,6,18,0,0,0,0,0,0.0
19,❌,6,19,0,0,0,0,0,0.0
20,❌,7,10,2,0,2,100,0,-0.365
21,❌,7,11,2,0,2,100,0,-0.733
22,❌,7,12,1,0,1,100,0,-0.262
23,❌,7,13,2,0,2,100,0,-1.68
24,❌,7,14,0,0,0,0,0,0.0
25,❌,7,15,0,0,0,0,0,0.0
26,❌,7,16,0,0,0,0,0,0.0
27,❌,7,17,0,0,0,0,0,0.0
28,❌,7,18,0,0,0,0,0,0.0
29,❌,7,19,0,0,0,0,0,0.0
30,❌,8,11,2,0,2,100,0,-0.064
31,❌,8,12,1,0,1,100,0,-0.124
32,❌,8,13,1,0,1,100,0,-0.591
33,❌,8,14,1,0,1,100,0,-1.179
34,❌,8,15,0,0,0,0,0,0.0
35,❌,8,16,0,0,0,0,0,0.0
36,❌,8,17,0,0,0,0,0,0.0
37,❌,8,18,0,0,0,0,0,0.0
38,❌,8,19,0,0,0,0,0,0.0
39,❌,9,12,2,0,2,100,0,-2.521
40,❌,9,13,1,0,1,100,0,-2.004
41,❌,9,14,1,0,1,100,0,-2.151
42,❌,9,15,0,0,0,0,0,0.0
43,❌,9,16,0,0,0,0,0,0.0
44,❌,9,17,0,0,0,0,0,0.0
45,❌,9,18,0,0,0,0,0,0.0
46,❌,9,19,0,0,0,0,0,0.0
47,❌,10,13,1,0,1,100,0,-0.983
48,❌,10,14,1,0,1,100,0,-0.983
49,❌,10,15,1,0,1,100,0,-0.983
50,❌,10,16,0,0,0,0,0,0.0
51,❌,10,17,0,0,0,0,0,0.0
52,❌,10,18,0,0,0,0,0,0.0
53,❌,10,19,0,0,0,0,0,0.0
