,📎,rapide,lente,niveau,signal,positive,negative,benefice
0,❗,10,15,2,2,0,0,0.0
1,❗,10,16,2,2,0,0,0.0
2,❗,10,17,2,2,0,0,0.0
3,❗,10,18,2,2,0,0,0.0
4,❗,10,19,2,2,0,0,0.0
5,❗,11,15,2,2,0,0,0.0
6,❗,11,16,2,2,0,0,0.0
7,❗,11,17,2,2,0,0,0.0
8,❗,11,18,2,2,0,0,0.0
9,❗,11,19,2,2,0,0,0.0
10,❗,12,15,2,2,0,0,0.0
11,❗,12,16,2,2,0,0,0.0
12,❗,12,17,2,2,0,0,0.0
13,❗,12,18,2,2,0,0,0.0
14,❗,12,19,2,2,0,0,0.0
15,❗,13,15,2,2,0,0,0.0
16,❗,13,16,2,2,0,0,0.0
17,❗,13,17,2,2,0,0,0.0
18,❗,13,18,2,2,0,0,0.0
19,❗,13,19,2,2,0,0,0.0
20,❗,14,16,2,2,0,0,0.0
21,❗,14,17,2,2,0,0,0.0
22,❗,14,18,2,2,0,0,0.0
23,❗,14,19,2,2,0,0,0.0
24,❗,15,17,2,2,0,0,0.0
25,❗,15,18,2,2,0,0,0.0
26,❗,15,19,2,2,0,0,0.0
27,❗,16,18,2,2,0,0,0.0
28,❗,16,19,2,2,0,0,0.0
29,❗,17,19,2,2,0,0,0.0
30,❗,10,15,2,2,0,0,0.0
31,❗,10,16,2,2,0,0,0.0
32,❗,10,17,2,2,0,0,0.0
33,❗,10,18,2,2,0,0,0.0
34,❗,10,19,2,2,0,0,0.0
35,❗,11,15,2,2,0,0,0.0
36,❗,11,16,2,2,0,0,0.0
37,❗,11,17,2,2,0,0,0.0
38,❗,11,18,2,2,0,0,0.0
39,❗,11,19,2,2,0,0,0.0
40,❗,12,15,2,2,0,0,0.0
41,❗,12,16,2,2,0,0,0.0
42,❗,12,17,2,2,0,0,0.0
43,❗,12,18,2,2,0,0,0.0
44,❗,12,19,2,2,0,0,0.0
45,❗,13,15,2,2,0,0,0.0
46,❗,13,16,2,2,0,0,0.0
47,❗,13,17,2,2,0,0,0.0
48,❗,13,18,2,2,0,0,0.0
49,❗,13,19,2,2,0,0,0.0
50,❗,14,16,2,2,0,0,0.0
51,❗,14,17,2,2,0,0,0.0
52,❗,14,18,2,2,0,0,0.0
53,❗,14,19,2,2,0,0,0.0
54,❗,15,17,2,2,0,0,0.0
55,❗,15,18,2,2,0,0,0.0
56,❗,15,19,2,2,0,0,0.0
57,❗,16,18,2,2,0,0,0.0
58,❗,16,19,2,2,0,0,0.0
59,❗,17,19,2,2,0,0,0.0
60,❗,10,15,2,2,0,0,0.0
61,❗,10,16,2,2,0,0,0.0
62,❗,10,17,2,2,0,0,0.0
63,❗,10,18,2,2,0,0,0.0
64,❗,10,19,2,2,0,0,0.0
65,❗,11,15,2,2,0,0,0.0
66,❗,11,16,2,2,0,0,0.0
67,❗,11,17,2,2,0,0,0.0
68,❗,11,18,2,2,0,0,0.0
69,❗,11,19,2,2,0,0,0.0
70,❗,12,15,2,2,0,0,0.0
71,❗,12,16,2,2,0,0,0.0
