,Unnamed: 0,📎,Rapide,Lente,Positive,Negative,Total,PositiveP,NegativeP,BeneficeP
0,0,❌,5,10,2,0,2,100,0,0.765
1,1,❌,5,11,2,0,2,100,0,-0.262
2,2,❌,5,12,2,0,2,100,0,-0.181
3,3,❌,5,13,2,0,2,100,0,-0.892
4,4,❌,5,14,1,0,1,100,0,-0.451
5,5,❌,5,15,1,0,1,100,0,-0.451
6,6,❌,5,16,1,0,1,100,0,-0.253
7,7,❌,5,17,1,0,1,100,0,-0.492
8,8,❌,5,18,1,0,1,100,0,-0.492
9,9,❌,5,19,1,0,1,100,0,-0.992
10,10,❌,6,10,2,0,2,100,0,0.216
11,11,❌,6,11,2,0,2,100,0,0.39
12,12,❌,6,12,3,0,3,100,0,-0.525
13,13,❌,6,13,2,0,2,100,0,-1.377
14,14,❌,6,14,1,0,1,100,0,-0.451
15,15,❌,6,15,1,0,1,100,0,-0.716
16,16,❌,6,16,1,0,1,100,0,-0.518
17,17,❌,6,17,1,0,1,100,0,-0.492
18,18,❌,6,18,1,0,1,100,0,-0.992
19,19,❌,6,19,1,0,1,100,0,-1.071
20,20,❌,7,10,2,0,2,100,0,0.11
21,21,❌,7,11,2,0,2,100,0,0.098
22,22,❌,7,12,2,0,2,100,0,-1.18
23,23,❌,7,13,2,0,2,100,0,-1.142
24,24,❌,7,14,1,0,1,100,0,-0.451
25,25,❌,7,15,1,0,1,100,0,-0.518
26,26,❌,7,16,1,0,1,100,0,-0.598
27,27,❌,7,17,1,0,1,100,0,-0.572
28,28,❌,7,18,1,0,1,100,0,-1.071
29,29,❌,7,19,1,0,1,100,0,-0.611
30,30,❌,8,11,2,0,2,100,0,-1.18
31,31,❌,8,12,2,0,2,100,0,-1.18
32,32,❌,8,13,2,0,2,100,0,-1.142
33,33,❌,8,14,2,0,2,100,0,-0.887
34,34,❌,8,15,1,0,1,100,0,-0.518
35,35,❌,8,16,1,0,1,100,0,-0.572
36,36,❌,8,17,1,0,1,100,0,-0.572
37,37,❌,8,18,1,0,1,100,0,-1.071
38,38,❌,8,19,1,0,1,100,0,-0.186
39,39,❌,9,12,2,0,2,100,0,-1.052
40,40,❌,9,13,2,0,2,100,0,-0.887
41,41,❌,9,14,2,0,2,100,0,-0.954
42,42,❌,9,15,1,0,1,100,0,-0.518
43,43,❌,9,16,1,0,1,100,0,-0.572
44,44,❌,9,17,1,0,1,100,0,-1.071
45,45,❌,9,18,1,0,1,100,0,-1.071
46,46,❌,9,19,1,0,1,100,0,-0.186
47,47,❌,10,13,2,0,2,100,0,-0.979
48,48,❌,10,14,2,0,2,100,0,-0.979
49,49,❌,10,15,2,0,2,100,0,-1.536
50,50,❌,10,16,1,0,1,100,0,-0.572
51,51,❌,10,17,1,0,1,100,0,-0.648
52,52,❌,10,18,1,0,1,100,0,-0.186
53,53,❌,10,19,1,0,1,100,0,-0.186
